Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,3,1,2,4,,10,,,,,,,,10,
,BIOL,54,32,42,59,,187,,2,2,1,1,,,190,
,BMCB,3,3,3,9,,18,,,,,,,,18,
,BOTN,,,,,,,,,,,,,,,
,CHEM,12,1,4,7,,24,,7,7,3,3,,,34,
,GENE,,,,,,,,,,,,,,,
,MATH,7,2,2,1,,12,1,2,3,1,1,,,16,
,MBIO,3,1,2,3,,9,,1,1,,,,,10,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,3,1,1,1,,6,,2,2,3,3,,,11,
,STAT,,,,,,,5,13,18,1,1,,,19,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,1,,,1,,,,,,,,1,
,Subtotal,85,41,57,84,,267,6,27,33,9,9,,,309,
Veterinary Medicine,BIMS,61,30,15,43,1,150,,4,4,3,3,,,157,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,1,1,,,,,1,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,1,,1,,,,,,,,1,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,14,14,14,
,VTMI,,,,,,,,,,1,1,,,1,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,61,30,15,44,1,151,,5,5,4,4,14,14,174,
General Studies,GEST,106,67,20,,,193,,,,,,,,193,
,TEAM,27,4,,,,31,,,,,,,,31,
,Subtotal,133,71,20,,,224,,,,,,,,224,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
