Headcount by Major by Level by Entry Status Fall 2010,,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Readmitted,Continuing,,
Agriculture,NUSC,67,17,7,333,,,,,,,,,,,424,
,NUTR,,,,,1,12,,24,2,,15,,,,54,
,PLBR,,,,,,5,,18,5,,16,,,,44,
,PLPA,,,,,,7,,10,,,17,,,,34,
,POSC,9,20,10,128,,6,,10,2,,7,,,,192,
,PPRO,,,,,,,,2,,,,,,,2,
,PREP,,,,,,1,1,10,1,,8,,,,21,
,PSSC,1,3,,6,,,,,,,,,,,10,
,RENR,2,7,,40,,,,,,,,,,,49,
,RLEM,6,9,4,49,1,8,,16,4,,18,,,,115,
,RPTS,9,37,7,255,,14,,20,7,,27,,,,376,
,RRDV,,,,,1,,,,,,,,,,1,
,SOSC,,,,,,5,,9,1,,14,,,,29,
,SPSA,1,2,,34,,,,,,,,,,,37,
,TOXI,,,,,,,,,,,1,,,,1,
,USAL,,,3,154,,,,,,,,,,,157,
,WFSC,40,22,5,316,1,12,,49,6,,52,,,,503,
,WISC,,,,,,5,1,7,,,,,,,13,
,WMHS,,,,,,,,11,,,3,,,,14,
,Subtotal,597,459,132,"4,185",21,284,3,542,83,1,468,,,,"6,775",
Architecture,ARCH,,,,,1,48,,65,8,,41,,,,163,
,COMG,,,,,,22,,33,,,,,,,55,
,COSC,,,1,367,,,,,,,,,,,368,
,COSL,44,37,5,136,,,,,,,,,,,222,
,ENDL,80,9,1,94,,,,,,,,,,,184,
,ENDS,,1,3,182,,,,,,,,,,,186,
,LAND,,,,80,1,13,,22,,,,,,,116,
,LANL,19,1,,27,,,,,,,,,,,47,
,LDEV,,,,,,15,,26,,,,,,,41,
,URPL,,,,,1,20,,28,,,,,,,49,
,URSC,14,1,,62,,2,,6,10,,41,,,,136,
,USAR,,,2,42,,,,,,,,,,,44,
,VISL,38,8,1,63,,,,,,,,,,,110,
,VIST,,,5,61,1,20,,59,,,,,,,146,
,Subtotal,195,57,18,"1,114",4,140,,239,18,,82,,,,"1,867",
Business Admin,ACCT,,10,5,622,1,87,,36,4,,14,,,,779,
,AGBU,,,,6,,,,,,,,,,,6,
,BHNR,,,,130,,,,,,,,,,,130,
,BUAD,677,43,5,899,,62,,60,,,,,,,"1,746",
,BUAG,4,,,5,,,,,,,,,,,9,
,EMBA,,,,,,54,,42,,,,,,,96,
,FINC,,3,,532,,69,,23,1,,14,,,,642,
,INFO,,2,2,346,,,,,,,4,,,,354,
,MGMT,,1,4,291,,22,,28,4,,14,,,,364,
,MISY,,,,,,86,,64,,,,,,,150,
,MKTG,,2,,421,,27,,29,2,,8,,,,489,
,MLER,,,,,,21,1,36,,,,,,,58,
,USBU,,,,145,,,,,,,,,,,145,
,Subtotal,681,61,16,"3,397",1,428,1,318,11,,54,,,,"4,968",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,
