Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,168,4.3%,89,-5.3%,81,-8.0%,,,338,-1.5%,
Gender,Female,55,-5.2%,37,-17.8%,33,3.1%,,,125,-7.4%,
,Male,113,9.7%,52,6.1%,48,-14.3%,,,213,2.4%,
Ethnicity,White,143,5.9%,62,-7.5%,29,-6.5%,,,234,0.4%,
,Black,2,100.0%,,,1,100.0%,,,3,200.0%,
,Hispanic,14,-26.3%,3,0.0%,2,100.0%,,,19,-13.6%,
,Asian,5,150.0%,,,1,0.0%,,,6,100.0%,
,American Indian,1,0.0%,,,0,-100.0%,,,1,-50.0%,
,International,3,0.0%,22,-4.3%,47,-13.0%,,,72,-10.0%,
,Unknown/Other,,,2,100.0%,1,0.0%,,,3,50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,67,-8.2%,,,,,,,67,-8.2%,
,22-25,82,13.9%,45,-6.3%,3,-40.0%,,,130,4.0%,
,26-30,13,44.4%,25,-7.4%,37,12.1%,,,75,8.7%,
,31-39,6,-14.3%,16,6.7%,33,-10.8%,,,55,-6.8%,
,40+,,,3,-25.0%,8,-38.5%,,,11,-35.3%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,0,-100.0%,2,100.0%,,,,,2,100.0%,
,1st Time Graduate,,,5,100.0%,,,,,5,100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Readmitted,6,100.0%,,,,,,,6,100.0%,
,Continuing,162,5.2%,82,-12.8%,81,-8.0%,,,325,-3.3%,
Tuition,Resident Tuition,156,3.3%,37,-5.1%,15,-6.3%,,,208,1.0%,
Status,Non-Resident Tuition,5,25.0%,17,112.5%,10,0.0%,,,32,45.5%,
,Tuition  Exemption/Waiver,7,16.7%,35,-25.5%,56,-9.7%,,,98,-14.8%,
Residency,Texas Resident,159,4.6%,37,-2.6%,17,6.3%,,,213,3.4%,
Status,"Non-TX, US Resident",6,0.0%,30,-9.1%,17,0.0%,,,53,-5.4%,
,"Non-TX, Non-US Resident",3,0.0%,22,-4.3%,47,-14.5%,,,72,-11.1%,
SCH,< 6 SCH,57,9.6%,32,-62.8%,21,-74.1%,,,110,-49.8%,
Categories,6-8 SCH,70,-18.6%,53,783.3%,60,900.0%,,,183,86.7%,
,9-11 SCH,25,108.3%,3,50.0%,0,-100.0%,,,28,86.7%,
,12-14 SCH,14,55.6%,1,100.0%,,,,,15,66.7%,
,15-17 SCH,2,0.0%,,,,,,,2,0.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,18,38.5%,19,-5.0%,15,15.4%,,,52,13.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","43
1","-12.2%
-50.0%",2,100.0%,2,100.0%,,,"47
1","-4.1%
-50.0%",
,Full-Time,106,9.3%,68,-8.1%,64,-14.7%,,,238,-3.3%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
