Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG",,"48
86
36
75
24
34
18
44
45
98
71
34
28
244
52
174
69
38
50
143
30
94
68
232
19
27
8
53
29
35
2
13","45.5%
-2.3%
63.6%
-1.3%
-7.7%
-19.0%
-28.0%
-39.7%
28.6%
6.5%
-19.3%
3.0%
3.7%
-4.7%
-10.3%
15.2%
-12.7%
-28.3%
16.3%
33.6%
172.7%
22.1%
-12.8%
-11.1%
46.2%
-28.9%
33.3%
15.2%
-6.5%
84.2%
0.0%
8.3%","44
26
10
13
40
1
59
84
59
2
9
43
99
14
11
93
0","-8.3%
8.3%
66.7%
18.2%
14.3%
-75.0%
-7.8%
-8.7%
-3.3%
-80.0%
12.5%
-4.4%
-17.5%
-41.7%
-26.7%
22.4%
-100.0%","33
21
22
15
68
7
87
91
103
9
1
49
5
102
20
18
43","-8.3%
-19.2%
69.2%
25.0%
-5.6%
-36.4%
0.0%
19.7%
-8.8%
80.0%
100.0%
19.5%
-44.4%
1.0%
-13.0%
28.6%
59.3%",,,"48
163
36
122
24
66
18
72
45
206
8
217
34
28
419
52
336
9
2
69
38
10
50
143
30
186
5
68
433
19
61
8
82
165
35
2
13
0","45.5%
-5.2%
63.6%
-3.2%
-7.7%
8.2%
-28.0%
-25.0%
28.6%
3.5%
-46.7%
-9.2%
3.0%
3.7%
-1.2%
-10.3%
3.4%
80.0%
-80.0%
-12.7%
-28.3%
25.0%
16.3%
33.6%
172.7%
14.1%
-44.4%
-12.8%
-10.2%
46.2%
-28.2%
33.3%
9.3%
23.1%
84.2%
0.0%
8.3%
-100.0%",
,Subtotal,"2,021",1.0%,607,-5.7%,694,4.2%,,,"3,322",0.3%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
