"Summer 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
3
3
6","Sophomore
1
1
1
3
5
5
11","Junior
1
1
2
2
1
3
1
1
19","Senior
1
1
1
1
1
3
1
1
3
3
29",PB,"Total
1
1
1
1
1
1
1
1
2
8
4
1
5
4
4
8
8
65",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,2,2,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,3,3,,,11,
,,,,,,,,,,,,,,4,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,2,2,,,9,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,8,
,,,,,,,,7,7,10,10,,,82,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,
