Top 10,,,,,,,,,
Summer 2006 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,15884,,,,88.1%,,
India,,,476,,,,2.6%,,
"China, People's Rep of",,,418,,,,2.3%,,
"Korea, Republic of",,,307,,,,1.7%,,
Taiwan,,,84,,,,0.5%,,
Mexico,,,65,,,,0.4%,,
Turkey,,,62,,,,0.3%,,
Colombia,,,49,,,,0.3%,,
Indonesia,,,36,,,,0.2%,,
Nigeria,,,36,,,,0.2%,,
State,Students  % Total,,,,,,,,
Texas,"14,646",,,81.3%,,,,,
Louisiana,110,,,0.6%,,,,,
California,91,,,0.5%,,,,,
Florida,61,,,0.3%,,,,,
Illinois,57,,,0.3%,,,,,
Oklahoma,56,,,0.3%,,,,,
Pennsylvania,44,,,0.2%,,,,,
New York,43,,,0.2%,,,,,
Virginia,39,,,0.2%,,,,,
Missouri,37,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,"2,558",,,14.2%,,,,
Brazos,,"1,558",,,8.6%,,,,
Dallas,,748,,,4.2%,,,,
Bexar,,699,,,3.9%,,,,
Tarrant,,676,,,3.8%,,,,
Fort Bend,,554,,,3.1%,,,,
Travis,,424,,,2.4%,,,,
Montgomery,,390,,,2.2%,,,,
Collin,,369,,,2.0%,,,,
Williamson,,265,,,1.5%,,,,
