Country,Undergraduate,Masters,PhD,Professional,Total Students
Poland,,1,2,,3
Portugal,,2,1,,3
Qatar,6,,,,6
Romania,,2,8,,10
Russia,2,4,13,,19
Rwanda,,2,1,,3
Saudi Arabia,2,5,9,,16
Serbia,1,3,3,,7
Sierra Leone,1,,,,1
Singapore,1,1,1,,3
Slovakia,1,,,,1
Slovenia,1,,,,1
South Africa,,,2,,2
Sri Lanka (Ceylon),,3,6,,9
Sudan,,,1,,1
Sweden,,,2,,2
Syria,1,,1,,2
Taiwan,9,26,49,,84
Tanzania,,,1,,1
Thailand,2,7,16,,25
Togo,,1,,,1
Trinidad & Tobago,,1,1,,2
Tunisia,1,,,,1
Turkey,,16,46,,62
Uganda,,1,,,1
Ukraine,,1,9,,10
United Arab Emirates,2,4,,,6
United Kingdom,4,,3,,7
United States,"12,469","1,914","1,343",158,"15,884"
Uruguay,3,1,3,,7
Venezuela,4,11,11,,26
Viet Nam Socialist Republic,6,,4,,10
Yemen,1,,,,1
Zimbabwe (Rhodesia),,,5,,5
