Office of Institutional Studies and Planning,,,,,
Qatar Campus,,,,,
(Not included in University Total Enrollment) Summer 2006,,,,,
Official Combined Summer Data – Not Certified,,,,,
Summer 2006,,Student Level,,Grand Total,
,,U1,U2,,
Head Count,,16,6,22,
Gender,Female,7,3,10,
,Male,9,3,12,
SCH Categories,< 6 SCH,16,6,22,
"Prepared by OISP, 11 Aug 06",,,,,
