Summer 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,26,20,1,1,5,4,3,1,1,1,16,22,1,1,51,49,100,
,COMG,1,8,1,,,2,1,1,,,7,10,,,10,21,31,
,COSC,14,222,,3,4,22,,3,,,,,,2,18,253,271,
,COSL,10,76,1,,,10,1,,,,,,,1,12,87,99,
,ENDL,22,24,1,,2,9,4,3,,,,2,,,30,38,68,
,ENDS,46,43,,1,7,7,2,2,,,2,,,,57,53,110,
,LAND,7,11,,1,,2,,,,,3,,,,10,14,24,
,LANL,5,9,,,2,1,,,,,,,,,7,10,17,
,LDEV,1,6,,1,1,1,,1,,,1,1,,2,3,12,15,
,URPL,1,2,,,,,,,,,1,7,1,,3,9,12,
,URSC,3,2,1,,1,,,,,,4,9,,1,9,12,21,
,VIZA,8,12,1,,2,2,2,2,,,1,4,,,14,20,34,
,Subtotal,144,435,6,7,24,60,13,13,,1,35,55,2,7,224,578,802,
Business,ACCT,244,166,,3,17,12,15,11,,2,3,6,1,1,280,201,481,
Admin,AGBU,1,3,,,,1,,,,,,,,,1,4,5,
,BUAD,103,128,4,4,13,14,5,7,,1,7,11,1,,134,165,299,
,BUAG,1,,,,,,,,,,,,,,1,,1,
,FINC,131,183,2,4,12,10,2,10,2,1,2,13,,,151,221,372,
,INFO,18,48,,3,1,4,,2,,2,5,2,,2,24,63,87,
,MGMT,104,100,5,2,13,10,10,2,,,3,3,,1,135,118,253,
,MISY,21,24,,,3,,2,3,,,13,32,,,39,59,98,
,MKTG,231,74,1,2,16,9,5,5,,1,4,9,1,,258,100,358,
,MLER,9,30,,,,2,,,,,,1,1,4,10,37,47,
,Subtotal,863,756,12,18,75,62,39,40,3,7,37,77,4,8,"1,033",968,2001,
Education,CPSY,12,6,1,2,3,1,1,1,,,2,,,,19,10,29,
,EDAD,82,57,6,8,25,13,,,2,,3,2,1,2,119,82,201,
,EDCI,169,46,25,4,24,6,5,2,,,11,7,3,2,237,67,304,
,EDHL,42,5,4,2,3,1,1,,2,,1,,,,53,8,61,
,EDIS,187,6,7,1,16,2,3,,1,,,,1,,215,9,224,
,EDKI,90,69,8,8,10,10,1,4,,1,,,,,109,92,201,
,EDSM,30,70,2,8,2,10,1,1,,,,1,,1,35,91,126,
,EDTC,2,3,,,2,1,,1,,,3,,,,7,5,12,
,EHRD,50,18,10,3,17,8,,1,,,12,5,1,,90,35,125,
,EPSY,76,9,5,1,15,4,,,,,11,5,1,,108,19,127,
,HEED,9,3,5,1,1,,1,,,,2,1,2,,20,5,25,
,HLTH,121,13,6,1,13,2,1,3,,,1,,1,,143,19,162,
,INST,414,17,6,2,64,4,6,,1,,,,,,491,23,514,
,ISNC,132,83,8,6,13,16,2,4,,,1,1,,,156,110,266,
,KINE,157,92,5,2,14,9,4,3,1,,,10,,3,181,119,300,
,PHED,,3,,,,,,,,,1,,,,1,3,4,
,SPMT,39,57,,1,3,9,,,,,,,,,42,67,109,
,SPSY,11,,6,,5,1,4,,,,,,,,26,1,27,
,TECR,5,,,,,,,,,,,,,,5,,5,
,Subtotal,"1,628",557,104,50,230,97,30,20,7,1,48,32,10,8,"2,057",765,2822,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,
