Top 10,,,,,,,,
Summer 2006  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,313,,,87.4%,,
"China, People's Rep of",,,8,,,2.2%,,
Indonesia,,,7,,,2.0%,,
India,,,7,,,2.0%,,
"Korea, Republic of",,,6,,,1.7%,,
Taiwan,,,3,,,0.8%,,
Thailand,,,3,,,0.8%,,
Mexico,,,1,,,0.3%,,
Kuwait,,,1,,,0.3%,,
Japan,,,1,,,0.3%,,
State,Students  % Total,,,,,,,
Texas,290,,,81.0%,,,,
Idaho,4,,,1.1%,,,,
Michigan,2,,,0.6%,,,,
Louisiana,2,,,0.6%,,,,
New Mexico,2,,,0.6%,,,,
Missouri,1,,,0.3%,,,,
Illinois,1,,,0.3%,,,,
Florida,1,,,0.3%,,,,
Colorado,1,,,0.3%,,,,
California,1,,,0.3%,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,56,,,15.6%,,,
Brazos,,47,,,13.1%,,,
Collin,,15,,,4.2%,,,
Tarrant,,14,,,3.9%,,,
Dallas,,12,,,3.4%,,,
Fort Bend,,12,,,3.4%,,,
Bexar,,10,,,2.8%,,,
Brazoria,,9,,,2.5%,,,
Williamson,,8,,,2.2%,,,
Jefferson,,7,,,2.0%,,,
