Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR",,"61
224
201
126
162
514
266
231
109
5","-25.6%
16.1%
-16.9%
70.3%
65.3%
-6.5%
20.4%
-16.3%
98.2%
-44.4%","0
37
183
12
47
85
8
40
2
0","-100.0%
-37.3%
8.3%
-36.8%
46.9%
23.2%
-33.3%
-16.7%
0.0%
-100.0%","29
164
121
78
42
17
29
2
27","-6.5%
0.0%
0.8%
-2.5%
7.7%
0.0%
38.1%
100.0%
-12.9%",,,"29
201
304
61
224
201
126
12
125
127
25
162
514
266
300
4
109
27
5","-14.7%
-9.9%
5.2%
-25.6%
16.1%
-16.9%
70.3%
-36.8%
11.6%
17.6%
-13.8%
65.3%
-6.5%
20.4%
-13.0%
33.3%
98.2%
-25.0%
-44.4%",
,Subtotal,"1,899",5.5%,414,-1.0%,509,1.0%,,,"2,822",3.7%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
