Top 10,,,,,,,,,
Summer 2006 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,Students  % Total,,,,,,,
United States,,186,,,,,98.4%,,
Russia,,1,,,,,0.5%,,
Guatemala,,1,,,,,0.5%,,
Cameroon,,1,,,,,0.5%,,
State,Students  % Total,,,,,,,,
Texas,184,,,97.4%,,,,,
Utah,1,,,0.5%,,,,,
California,1,,,0.5%,,,,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,,40,,21.2%,,,,
Harris,,,33,,17.5%,,,,
Bexar,,,8,,4.2%,,,,
Dallas,,,8,,4.2%,,,,
Montgomery,,,8,,4.2%,,,,
Fort Bend,,,7,,3.7%,,,,
McLennan,,,5,,2.6%,,,,
Travis,,,4,,2.1%,,,,
Williamson,,,4,,2.1%,,,,
Collin,,,3,,1.6%,,,,
