College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,American,,,Unknown/,,,,,,,
Summer 2006,,White,,,,,,Black,,,,,Hispanic,,,,Asian,,,Indian,,,Other,,Grand Total,,,,,
,,,F,M,,Tot,,,F,,M,Tot,,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,,M,Tot,,
Headcount Total,,,,,2,,2,,,1,,1,,,,,,,,,,,,,,1,2,,3,
TAMU Age,<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,18-21,,,,2,,2,,,1,,1,,,,,,,,,,,,,,1,2,,3,
Classification,Freshman,,,,2,,2,,,1,,1,,,,,,,,,,,,,,1,2,,3,
Tuition Status,"Sophomore Junior
Resident Tuition",,,,2,,2,,,1,,1,,,,,,,,,,,,,,1,2,,3,
Residency Status,"Non-Resident Tuition
Tuition Exemption/Waiver Texas Resident",,,,2,,2,,,1,,1,,,,,,,,,,,,,,1,2,,3,
SCH Categories,"Non-TX, US Resident
< 6 SCH",,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,
,6-8 SCH,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,
,"9-11 SCH
12-14 SCH",,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,
Ft/Pt:  TAMU,Half-Time,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,
Status,Full-Time,,,,1,,1,,,1,,1,,,,,,,,,,,,,,1,1,,2,
Top 10% Texas,No,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,2,
High School,Yes,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,
First Generation,No,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,2,
,Unknown Yes,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,
Dorm / Off-campus,Off-campus,,,,2,,2,,,1,,1,,,,,,,,,,,,,,1,2,,3,
students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
