"Summer 2006
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
81
13
97
95
52
338
83
174
337
273
344
9
51
281
49
449
25
507
171
2,753
485
323
172
155
48
1,183
660
35
5
1
50
17
768
682
682
2
245
6
8
261
18,031",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,17,37,,,2,3,,,,,6,14,,2,25,56,,
,6,5,,,1,,,1,,,,,,,7,6,,
,31,48,1,2,1,4,,3,1,,2,4,,,36,61,,
,17,41,,,2,4,,1,,,9,20,1,,29,66,,
,19,13,,,1,1,,1,,,8,9,,,28,24,,
,90,144,1,2,7,12,,6,1,,25,47,1,2,125,213,,
,44,23,1,,4,5,2,,,,,3,,1,51,32,,
,80,38,4,3,26,14,5,1,1,,1,,1,,118,56,,
,207,77,9,,18,11,2,1,1,,3,3,3,2,243,94,,
,44,129,,4,8,21,3,15,1,,9,36,,3,65,208,,
,237,48,13,2,16,6,5,3,2,,8,2,2,,283,61,,
,5,3,,,,,,,,,,,,1,5,4,,
,19,8,,,8,16,,,,,,,,,27,24,,
,97,156,4,1,8,10,1,1,1,,,,,2,111,170,,
,9,30,,,2,3,,1,,,,2,1,1,12,37,,
,138,216,11,4,12,36,2,9,,1,4,10,3,3,170,279,,
,6,9,1,3,3,3,,,,,,,,,10,15,,
,299,102,13,4,45,16,11,3,3,,5,5,,1,376,131,,
,74,40,8,3,22,10,7,,,1,3,2,1,,115,56,,
,"1,259",879,64,24,172,151,38,34,9,2,33,63,11,14,"1,586","1,167",,
,195,139,10,6,25,20,23,33,3,1,14,13,1,2,271,214,,
,72,85,4,4,17,14,10,8,1,2,25,68,5,8,134,189,,
,61,50,2,,6,8,4,5,,,8,27,1,,82,90,,
,3,47,,2,1,10,1,4,2,,10,66,4,5,21,134,,
,8,7,,,1,1,2,,,,9,19,,1,20,28,,
,339,328,16,12,50,53,40,50,6,3,66,193,11,16,528,655,,
,346,138,10,8,49,23,45,16,2,2,,1,13,7,465,195,,
,19,4,,,1,,2,1,1,,2,5,,,25,10,,
,3,1,,,,1,,,,,,,,,3,2,,
,,,,,,,,,,,1,,,,1,,,
,17,8,2,1,5,2,,,,,5,9,,1,29,21,,
,3,2,,1,,,,1,,,4,4,2,,9,8,,
,388,153,12,10,55,26,47,18,3,2,12,19,15,8,532,236,,
,208,279,20,35,46,51,9,19,3,5,1,5,,1,287,395,,
,208,279,20,35,46,51,9,19,3,5,1,5,,1,287,395,,
,,1,,,,1,,,,,,,,,,2,,
,53,55,2,1,5,4,6,3,,,59,54,1,2,126,119,,
,,,,,,,,,,,3,3,,,3,3,,
,3,2,,,,1,,,,,,2,,,3,5,,
,56,58,2,1,5,6,6,3,,,62,59,1,2,132,129,,
,"6,415","6,269",315,301,859,860,279,342,43,39,581,"1,550",78,100,"8,570","9,461",,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,
