Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,572,-0.2%,188,-5.5%,42,2.4%,,,802,-1.4%,
Gender,Female,128,-12.9%,80,-3.6%,16,14.3%,,,224,-8.2%,
,Male,444,4.2%,108,-6.9%,26,-3.7%,,,578,1.6%,
Ethnicity,White,478,-1.4%,91,-12.5%,10,-9.1%,,,579,-3.5%,
,Black,6,-33.3%,6,50.0%,1,100.0%,,,13,0.0%,
,Hispanic,64,8.5%,17,41.7%,3,50.0%,,,84,15.1%,
,Asian,15,50.0%,10,0.0%,1,100.0%,,,26,30.0%,
,American Indian,1,-83.3%,,,,,,,1,-83.3%,
,International,4,100.0%,60,-9.1%,26,0.0%,,,90,-4.3%,
,Unknown/Other,4,100.0%,4,33.3%,1,-50.0%,,,9,28.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,208,-2.3%,,,,,,,208,-2.3%,
,22-25,329,-1.8%,73,-8.8%,1,0.0%,,,403,-3.1%,
,26-30,26,52.9%,80,-3.6%,7,-12.5%,,,113,4.6%,
,31-39,9,28.6%,29,3.6%,22,4.8%,,,60,7.1%,
,40+,0,-100.0%,6,-25.0%,12,9.1%,,,18,-10.0%,
Enrollment,1st Time in College,1,100.0%,,,,,,,1,100.0%,
Status,1st Time PB,,,1,100.0%,,,,,1,100.0%,
,1st Time Graduate,,,12,0.0%,0,-100.0%,,,12,-7.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,5,-28.6%,,,,,,,5,-28.6%,
,Readmitted,2,-33.3%,1,100.0%,,,,,3,0.0%,
,Continuing,564,0.2%,174,-7.0%,42,5.0%,,,780,-1.3%,
Tuition,Resident Tuition,544,-0.7%,93,-14.7%,13,0.0%,,,650,-3.0%,
Status,Non-Resident Tuition,11,-26.7%,23,27.8%,7,-41.7%,,,41,-8.9%,
,Tuition  Exemption/Waiver,17,70.0%,72,0.0%,22,37.5%,,,111,13.3%,
Residency,Texas Resident,549,0.2%,98,-10.1%,14,7.7%,,,661,-1.3%,
Status,"Non-TX, US Resident",19,-17.4%,30,25.0%,2,0.0%,,,51,4.1%,
,"Non-TX, Non-US Resident",4,100.0%,60,-9.1%,26,0.0%,,,90,-4.3%,
SCH,< 6 SCH,147,-2.0%,114,7.5%,19,-40.6%,,,280,-2.8%,
Categories,6-8 SCH,184,12.2%,67,17.5%,23,187.5%,,,274,19.7%,
,9-11 SCH,96,-21.3%,4,-86.7%,0,-100.0%,,,100,-34.6%,
,12-14 SCH,97,-6.7%,3,-50.0%,,,,,100,-9.1%,
,15-17 SCH,39,34.5%,,,,,,,39,34.5%,
,>17 SCH,9,125.0%,,,,,,,9,125.0%,
Ft/Pt:,Less Than Half Time,43,-2.3%,20,-16.7%,13,44.4%,,,76,-1.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","112
4","-17.0%
300.0%","69
4","360.0%
100.0%",5,400.0%,,,"186
8","23.2%
700.0%",
,Full-Time,413,5.1%,95,-40.6%,24,-22.6%,,,532,-8.9%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
