Country,Undergraduate,Masters,PhD,Professional,Total Students,
"Gambia, The",1,,,,1,
Germany,,1,7,,8,
Ghana,,2,1,,3,
Greece,,1,6,,7,
Guatemala,5,1,1,,7,
Honduras,2,3,1,,6,
Hong Kong,2,3,4,,9,
India,39,238,199,,476,
Indonesia,15,13,8,,36,
Iran,3,3,11,,17,
Iraq,1,3,1,,5,
Ireland,,,1,,1,
Israel,,1,,,1,
Italy,1,2,3,,6,
Jamaica,2,1,5,,8,
Japan,4,7,15,,26,
Jordan,,2,5,,7,
Kazakhstan,4,6,,,10,
Kenya,1,,2,,3,
"Korea, Republic of",14,57,236,,307,
Kuwait,,,1,,1,
Lebanon,2,1,6,,9,
Lithuania,1,,,,1,
Macedonia,,1,,,1,
Malaysia,3,2,3,,8,
Mali,,,2,,2,
Mauritius,,1,,,1,
Mexico,8,20,37,,65,
Mongolia,,,1,,1,
Morocco,,,1,,1,
Nepal,,,2,,2,
Netherlands,,1,,,1,
Nicaragua,4,,,,4,
Niger,,,1,,1,
Nigeria,10,19,7,,36,
Norway,,1,,,1,
Oman,,1,2,,3,
Pakistan,4,5,7,,16,
Panama,2,3,,,5,
Paraguay,,1,1,,2,
Peru,2,3,12,,17,
Philippines,,4,5,,9,
Page 71,,,,,,
