Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,5,,1,4,,10,,,,1,1,,,11
,BMEN,,3,3,3,,9,,,,2,2,,,11
,CHEN,1,3,3,13,,20,1,1,2,2,2,,,24
,CLEN,,,,,,,,,,,,,,
,CSCE,7,6,5,15,,33,,1,1,4,4,,,38
,CVEN,2,4,4,12,,22,,4,4,,,,,26
,ECEN,6,4,3,10,1,24,,6,6,2,2,,,32
,ETID,,5,9,15,,29,,,,,,,,29
,ISEN,1,2,7,15,,25,,3,3,4,4,,,32
,MEEN,3,5,4,10,,22,1,2,3,4,4,,,29
,NUEN,1,1,1,5,,8,,2,2,2,2,,,12
,PETE,3,4,6,4,,17,,5,5,3,3,,,25
,Subtotal,29,37,46,106,1,219,2,24,26,24,24,,,269
"G. Bush School of Govt
Geosciences
Liberal Arts",BUSH,,,,,,,14,8,22,,,,,22
,Subtotal,,,,,,,14,8,22,,,,,22
,ATMO,1,2,,2,,5,,1,1,,,,,6
,CLGE,,,,1,,1,,,,,,,,1
,GEOG,,,2,3,,5,,1,1,1,1,,,7
,GEPL,,,1,1,,2,,2,2,,,,,4
,OCNG,,,,,,,,,,1,1,,,1
,Subtotal,1,2,3,7,,13,,4,4,2,2,,,19
,ANTH,1,1,2,2,,6,,1,1,4,4,,,11
,CLED,,,,,,,,,,,,,,
,CLLA,1,7,11,12,,31,,,,,,,,31
,COMM,5,10,7,14,,36,,,,3,3,,,39
,ECON,3,2,4,9,,18,,1,1,,,,,19
,ENGL,,5,8,8,,21,,,,2,2,,,23
,EURO,,,1,2,,3,,,,,,,,3
,HISP,,,,,,,,,,,,,,
,HIST,1,5,1,9,,16,,,,2,2,,,18
,PHUM,,1,,1,,2,,,,,,,,2
,POLS,5,4,8,11,,28,,2,2,3,3,,,33
,PRFM,1,,1,1,,3,,1,1,,,,,4
,PSYC,5,14,22,23,,64,,2,2,3,3,,,69
,SOCI,1,8,16,18,,43,,4,4,15,15,,,62
,Subtotal,23,57,81,110,,271,,11,11,32,32,,,314
