Spring 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Geosciences,ATMO,,,,,,1,,24,,,24,,49
,ENGS,,2,1,116,,,,,,,,,119
,ENST,,1,,101,,,,,,,,,102
,GEOG,,1,1,81,,2,,19,,,32,,136
,GEOL,,,3,152,,6,2,53,4,,26,,246
,GEOP,,1,1,46,,5,,14,,,14,,81
,MARB,,,,,,,,2,,,,,2
,METR,,2,,133,,,,,,,,,135
,OCNG,,,,,,2,,28,2,,41,,73
,SPSG,,,1,3,,,,,,,,,4
,USGE,,,,2,,,,,,,,,2
,WMHS,,,,,,1,,18,,,14,,33
,Subtotal,,7,7,634,,17,2,158,6,,151,,982
"Liberal Arts
Science",AMST,,,,2,,,,,,,,,2
,ANTH,2,6,3,173,,1,1,64,2,,63,,315
,CLSS,,1,1,17,,,,,,,,,19
,COMM,,15,3,722,,,,6,,,45,,791
,ECON,2,22,11,497,,1,,79,,,59,,671
,ENGL,,9,5,612,,,,16,,,75,,717
,FREN,,2,1,16,,,,,,,,,19
,GERM,,,,7,,,,,,,,,7
,HISP,,,,,,2,,2,,,35,,39
,HIST,2,13,1,638,,,,11,4,,54,,723
,INTS,,10,3,610,,,,,,,,,623
,MODL,,,,,,,,3,,,,,3
,MUSC,,1,,25,,,,,,,,,26
,NRSC,,,,,,,,6,,,9,,15
,NUTR,,,,,,,,1,,,,,1
,PERF,,,,,,,,10,,,,,10
,PHIL,,,,77,,,,14,,,12,,103
,POLS,2,20,5,649,,,,6,,,41,,723
,PSYC,1,34,9,"1,262",,,,20,6,,57,,"1,389"
,RUSS,,1,,16,,,,,,,,,17
,SOCI,,12,,432,,,,20,4,,68,,536
,SPAN,,2,1,74,,,,,,,,,77
,TCMS,1,5,3,159,,,,,,,,,168
,TECR,,,,1,,,,,,,,,1
,THAR,,2,,40,,,,,,,,,42
,USLA,,,,10,,,,,,,,,10
,WGST,,,,15,,,,,,,,,15
,Subtotal,10,155,46,"6,054",,4,1,258,16,,518,,"7,062"
,APHY,,,,,,,,1,,,9,,10
,APMS,,2,1,152,,,,,,,,,155
,BIOL,7,16,2,"1,120",,,,20,,,50,,"1,215"
,BMCB,,,,94,,,,,,,,,94
,BOTN,,,,,,,,,,,2,,2
,CHEM,2,2,,268,,2,,50,,,218,,542
,GENE,,,,,,,,,,,2,,2
,MATH,3,4,,228,,5,,57,1,,92,,390
,MBIO,,,,82,,,,3,,,11,,96
,MSEN,,,,,,,,1,,,1,,2
,PHYS,,3,1,122,1,1,,56,,,110,,294
,STAT,,,,,14,10,2,88,2,,47,,163
,USSC,,,,18,,,,,,,,,18
,ZOOL,2,1,,71,,,,1,,,11,,86
,Subtotal,14,28,4,"2,155",15,18,2,277,3,,553,,"3,069"
