Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,,1,,,,1,,,,,,,,1
,AERO,,1,,,,1,,,,,,,,1
,BIOT,,,,,,,,,,,,,,
,BMEL,,1,,,,1,,,,,,,,1
,BMEN,,,,,,,,,,,,,,
,CECL,1,,,,,1,,,,,,,,1
,CECN,,1,,1,,2,,,,,,,,2
,CEEL,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,
,CHEL,,,1,,,1,,,,,,,,1
,CHEN,,,,1,,1,,,,,,,,1
,CPSC,,,,1,,1,,,,,,,,1
,CPSL,1,,,,,1,,,,,,,,1
,CVEL,,,,,,,,,,,,,,
,CVEN,,,,,,,,,,,,,,
,ELEL,,,,,,,,,,,,,,
,ELEN,,,,,,,,,,,,,,
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,
,IDIL,1,,,,,1,,,,,,,,1
,IDIS,,,,1,,1,,,,,,,,1
,INEL,,,,,,,,,,,,,,
,INEN,,,,1,,1,,,,,,,,1
,ITDE,,,,,,,,,,,,,,
,MEEL,,1,,,,1,,,,,,,,1
,MEEN,,1,,3,,4,,,,1,1,,,5
,MSEN,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,
,NUEN,,,,,,,,,,,,,,
,OCEL,1,,,,,1,,,,,,,,1
,OCEN,,,1,,,1,,,,,,,,1
,PETE,,,1,,,1,,1,1,,,,,2
,PETL,,1,1,,,2,,,,,,,,2
,RHEL,,,,,,,,,,,,,,
,RHEN,,,,1,,1,,,,,,,,1
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,Subtotal,4,7,4,9,,24,,1,1,1,1,,,26
