Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Papua New Guinea,,1,,,1,
Paraguay,1,,1,,2,
Peru,2,5,7,,14,
Philippines,,1,13,,14,
Poland,,,2,,2,
Portugal,,1,,,1,
Qatar,8,5,2,,15,
Romania,,,2,,2,
Russia,2,2,8,,12,
Rwanda,,,2,,2,
Saudi Arabia,34,13,14,,61,
Serbia,,,3,,3,
Singapore,2,5,5,,12,
Slovakia,,,1,,1,
South Africa,3,1,3,,7,
Spain,7,2,3,,12,
Sri Lanka (Ceylon),5,2,8,,15,
Sweden,5,,1,,6,
Switzerland,3,,,,3,
Syria,3,,1,,4,
Taiwan,2,35,148,,185,
Tanzania,1,,1,,2,
Thailand,1,20,22,,43,
Trinidad & Tobago,3,1,1,,5,
Tunisia,1,1,1,,3,
Turkey,1,46,62,,109,
Turkmenistan,1,,,,1,
Uganda,,1,2,,3,
Ukraine,,1,3,,4,
United Arab Emirates,20,6,4,,30,
United Kingdom,8,1,4,,13,
United States,"36,525","3,475","2,088",520,"42,608",
Uruguay,,1,,,1,
Uzbekistan,,2,2,,4,
Venezuela,8,13,4,,25,
Viet Nam Socialist Republ,23,8,14,,45,
Wales,,1,,,1,
Yemen,1,,1,,1,
Zambia,1,,,,2,
Zimbabwe (Rhodesia),,,2,,2,
Page 145,,,,,,
