Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,,1,1,,2,,,,1,1,,,3
,BMEN,,1,1,,,2,,,,1,1,,,3
,CHEN,,,2,1,,3,,,,,,,,3
,CLEN,,,,,,,,,,,,,,
,CSCE,1,,,,,1,,2,2,1,1,,,4
,CVEN,,1,,1,,2,,1,1,1,1,,,4
,ECEN,1,,1,1,,3,,1,1,1,1,,,5
,ETID,,,,,,,,,,,,,,
,ISEN,,1,2,2,,5,,2,2,,,,,7
,MEEN,,,2,,,2,,,,,,,,2
,NUEN,,,,1,,1,,,,1,1,,,2
,PETE,,2,,,,2,,5,5,1,1,,,8
,Subtotal,2,5,9,7,,23,,11,11,7,7,,,41
"G. Bush School of Govt
Geosciences
Liberal Arts",BUSH,,,,,,,2,,2,,,,,2
,Subtotal,,,,,,,2,,2,,,,,2
,ATMO,,,,,,,,,,,,,,
,CLGE,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1
,GEPL,,,,,,,,,,2,2,,,2
,OCNG,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,,1,1,3,3,,,4
,ANTH,,,,,,,,,,,,,,
,CLED,,,,,,,,,,,,,,
,CLLA,,1,,,,1,,,,,,,,1
,COMM,,,1,1,,2,,1,1,,,,,3
,ECON,,,1,1,,2,,1,1,,,,,3
,ENGL,,,1,,,1,,,,,,,,1
,EURO,,,1,,,1,,,,,,,,1
,HISP,,,,,,,,,,,,,,
,HIST,,1,1,,,2,,,,3,3,,,5
,PHUM,,,,,,,,2,2,1,1,,,3
,POLS,,2,1,2,,5,,,,,,,,5
,PRFM,,,,,,,,,,,,,,
,PSYC,,1,2,2,,5,,,,,,,,5
,SOCI,,,,1,,1,,,,1,1,,,2
,Subtotal,,5,8,7,,20,,4,4,5,5,,,29
