Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2
,CHLS,,,,,,,1,,1,,,,,1
,CNPM,,,,,,,1,,1,,,,,1
,INTA,,,,,,,,8,8,,,,,8
,PSAA,,,,,,,,3,3,,,,,3
,Subtotal,,,,,,,4,11,15,,,,,15
Geosciences,ATMO,,,,,,,,,,,,,,
,ENGS,,,3,1,,4,,,,,,,,4
,ENST,,1,1,,,2,,,,,,,,2
,GEOG,,,,,,,,,,1,1,,,1
,GEOL,1,1,2,4,,8,,1,1,1,1,,,10
,GEOP,1,,,3,,4,,2,2,,,,,6
,MARB,,,,,,,,,,,,,,
,METR,,1,1,,,2,,,,,,,,2
,OCNG,,,,,,,,1,1,1,1,,,2
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,2,3,7,8,,20,,4,4,3,3,,,27
Liberal Arts,AMST,,,,,,,,,,,,,,
,ANTH,,2,1,1,,4,,,,4,4,,,8
,CLSS,,,,,,,,,,,,,,
,COMM,4,1,3,5,,13,,,,2,2,,,15
,ECON,3,5,11,21,,40,1,,1,1,1,,,42
,ENGL,,3,6,8,,17,,,,,,,,17
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,2,1,2,,6,,,,,,,,6
,INTS,3,2,10,1,,16,,,,,,,,16
,MODL,,,,,,,,,,,,,,
,MUSC,,,1,1,,2,,,,,,,,2
,NRSC,,,,,,,,,,1,1,,,1
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,
,PHIL,1,1,3,1,,6,,,,,,,,6
,POLS,2,5,10,10,,27,,,,2,2,,,29
,PSYC,2,12,23,34,,71,,3,3,2,2,,,76
,RUSS,,,,,,,,,,,,,,
,SOCI,,1,5,10,,16,,1,1,2,2,,,19
,SPAN,,,,,,,,,,,,,,
,TCMS,,,1,4,,5,,,,,,,,5
,TECR,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
