Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,,,4,,4,,2,2,1,1,,,7
,ALEC,,,1,3,,4,,,,1,1,,,5
,ANSC,1,1,2,5,,9,,,,,,,,9
,BAEN,2,1,,9,1,13,,,,1,1,,,14
,BCBP,15,12,12,24,1,64,,2,2,,,,,66
,CLAG,,1,,,,1,,,,,,,,1
,ENTO,,1,2,2,,5,,2,2,,,,,7
,ESSM,,,,1,,1,,1,1,2,2,,,4
,HRSC,,,,,,,,,,1,1,,,1
,NFSC,4,5,11,20,2,42,,1,1,1,1,,,44
,PLPM,1,2,3,9,,15,,,,,,,,15
,POSC,,,,,,,,1,1,,,,,1
,RPTS,,1,2,4,,7,,1,1,1,1,,,9
,SCSC,,1,,1,,2,1,,1,3,3,,,6
,WFSC,,1,,1,,2,,1,1,,,,,3
,Subtotal,23,26,33,83,4,169,1,11,12,11,11,,,192
Architecture,ARCH,6,1,3,6,,16,,4,4,4,4,,,24
,CLAR,,,,1,,1,,,,,,,,1
,COSC,,1,1,2,,4,,,,,,,,4
,LAUP,2,1,,3,,6,,,,2,2,,,8
,VIZA,3,2,1,,,6,,7,7,,,,,13
,Subtotal,11,5,5,12,,33,,11,11,6,6,,,50
Business,ACCT,,1,20,21,,42,,6,6,3,3,,,51
Admin,CLBA,23,46,5,10,,84,1,21,22,,,,,106
,,,,,,,,,,,,,,,
,FINC,,1,8,17,,26,1,3,4,2,2,,,32
,INFO,,1,11,20,,32,,7,7,,,,,39
,MGMT,,,3,8,,11,,3,3,2,2,,,16
,MKTG,,,4,5,,9,,1,1,,,,,10
,Subtotal,23,49,51,81,,204,2,41,43,7,7,,,254
Education,CLED,,,,,,,,,,,,,,
,EAHR,1,2,6,9,,18,,4,4,7,7,,,29
,EPSY,,,,,,,1,2,3,8,8,,,11
,HLKN,9,7,14,17,,47,,4,4,4,4,,,55
,TLAC,,,3,5,,8,,4,4,1,1,,,13
,Subtotal,10,9,23,31,,73,1,14,15,20,20,,,108
