Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,5,10,4,20,,39,,1,1,,,,,40,
,,1,3,1,1,,6,,,,1,1,,,7,
,,,,,,,,,,,,,,,,
,,4,3,2,9,,18,,,,1,1,,,19,
,,1,,1,1,,3,,2,2,3,3,,,8,
,,,,,,,,1,2,3,1,1,,,4,
,,11,16,8,31,,66,1,5,6,6,6,,,78,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,13,11,7,7,,38,,1,1,,,2,2,41,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,13,11,7,7,,38,,1,1,,,2,2,41,
,,40,45,2,,,87,,,,,,,,87,
,,40,45,2,,,87,,,,,,,,87,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,1,
,,129,211,154,231,,725,3,58,61,22,22,2,2,810,
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
