Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,8,4,3,11,,26,,,,2,2,,,28
,BMEN,4,4,6,21,,35,,10,10,2,2,,,47
,CHEN,3,10,12,34,,59,,5,5,,,,,64
,CLEN,,,,,,,,,,3,3,,,3
,CSCE,14,13,13,16,,56,1,6,7,4,4,,,67
,CVEN,5,6,8,9,,28,,10,10,4,4,,,42
,ECEN,20,23,20,45,,108,,13,13,8,8,,,129
,ETID,,1,10,18,,29,,,,,,,,29
,ISEN,,6,6,21,1,34,,7,7,3,3,,,44
,MEEN,4,2,16,18,,40,,10,10,4,4,,,54
,NUEN,2,4,1,6,,13,,2,2,2,2,,,17
,PETE,3,6,8,21,,38,,8,8,1,1,,,47
,Subtotal,63,79,103,220,1,466,1,71,72,33,33,,,571
"G. Bush School of Govt
Geosciences
Liberal Arts",BUSH,,,,,,,4,11,15,,,,,15
,Subtotal,,,,,,,4,11,15,,,,,15
,ATMO,,1,1,,,2,,,,,,,,2
,CLGE,,,3,1,,4,,,,,,,,4
,GEOG,,1,1,,,2,,,,1,1,,,3
,GEPL,2,1,2,7,,12,,3,3,1,1,,,16
,OCNG,,,,,,,,1,1,1,1,,,2
,Subtotal,2,3,7,8,,20,,4,4,3,3,,,27
,ANTH,,2,1,1,,4,,,,4,4,,,8
,CLED,,,,,,,,,,,,,,
,CLLA,3,2,10,1,,16,,,,,,,,16
,COMM,4,1,4,9,,18,,,,2,2,,,20
,ECON,3,5,11,21,,40,1,,1,1,1,,,42
,ENGL,,3,6,8,,17,,,,,,,,17
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,2,1,2,,6,,,,,,,,6
,PHUM,1,1,3,1,,6,,,,,,,,6
,POLS,2,5,10,10,,27,,,,2,2,,,29
,PRFM,,,1,1,,2,,,,,,,,2
,PSYC,2,12,23,34,,71,,3,3,3,3,,,77
,SOCI,,1,5,10,,16,,1,1,2,2,,,19
,Subtotal,16,34,75,98,,223,1,4,5,14,14,,,242
