Ethnicity International,,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,1,1,,,1,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,,,,,7,7,14,14,,,21,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,2,2,,,2,
,Subtotal,2,8,9,24,,43,,134,134,261,261,,,438,
"Architecture
Business Admin",ARCH,,,,,,,,33,33,34,34,,,67,
,COMG,,,,,,,,22,22,,,,,22,
,COSC,,,,1,,1,,,,,,,,1,
,COSL,,1,1,,,2,,,,,,,,2,
,ENDL,,1,,,,1,,,,,,,,1,
,ENDS,,,,1,,1,,,,,,,,1,
,LAND,,,,,,,,30,30,,,,,30,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,8,8,,,,,8,
,NUTR,,,,,,,,,,1,1,,,1,
,URPL,,,,,,,,15,15,,,,,15,
,URSC,,,,,,,,,,41,41,,,41,
,USAR,,,,,,,,,,,,,,,
,VISL,,,1,,,1,,,,,,,,1,
,VIST,,,,1,,1,,13,13,,,,,14,
,Subtotal,,2,2,3,,7,,121,121,76,76,,,204,
,ACCT,,,7,7,,14,,10,10,,,,,24,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,,
,BUAD,3,6,2,,,11,,18,18,,,,,29,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,1,1,,,,,1,
,FINC,,,2,6,,8,,1,1,6,6,,,15,
,INFO,,,1,3,,4,,,,7,7,,,11,
,MGMT,,,1,1,,2,,1,1,5,5,,,8,
,MISY,,,,,,,,87,87,,,,,87,
,MKTG,,,,1,,1,,5,5,7,7,,,13,
,MLER,,,,,,,,2,2,,,,,2,
,USBU,,,,1,,1,,,,,,,,1,
,Subtotal,3,6,13,19,,41,,125,125,25,25,,,191,
