Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2
,CHLS,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,
,PSAA,,,,,,,,,,,,,,
,Subtotal,,,,,,,2,,2,,,,,2
Geosciences,ATMO,,,,,,,,,,,,,,
,ENGS,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1
,GEOL,,,,,,,,,,1,1,,,1
,GEOP,,,,,,,,,,1,1,,,1
,MARB,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,,,,,,,1,1,3,3,,,4
Liberal Arts,AMST,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,
,COMM,,,,1,,1,,1,1,,,,,2
,ECON,,,1,1,,2,,1,1,,,,,3
,ENGL,,,1,,,1,,,,,,,,1
,FREN,,,1,,,1,,,,,,,,1
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,1,1,,,2,,,,3,3,,,5
,INTS,,1,,,,1,,,,,,,,1
,MODL,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,
,PHIL,,,,,,,,2,2,1,1,,,3
,POLS,,2,1,2,,5,,,,,,,,5
,PSYC,,1,2,2,,5,,,,,,,,5
,RUSS,,,,,,,,,,,,,,
,SOCI,,,,1,,1,,,,1,1,,,2
,SPAN,,,,,,,,,,,,,,
,TCMS,,,1,,,1,,,,,,,,1
,TECR,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
