Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2,7,14,18,,41,,86,86,118,118,,,245,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,1,1,,,1,
,APMS,1,,1,2,,4,,,,,,,,4,
,BIOL,2,,,,,2,,9,9,26,26,,,37,
,BMCB,,,,2,,2,,,,,,,,2,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,,1,6,,7,,22,22,112,112,,,141,
,GENE,,,,,,,,,,,,,,,
,MATH,,2,,,,2,,18,18,64,64,,,84,
,MBIO,,1,,,,1,,1,1,6,6,,,8,
,MSEN,,,,,,,,1,1,1,1,,,2,
,PHYS,1,,,3,,4,,25,25,55,55,,,84,
,STAT,,,,,,,2,11,13,37,37,,,50,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,1,1,,,1,
,Subtotal,4,3,2,13,,22,2,87,89,303,303,,,414,
,BIMS,,1,1,1,,3,,7,7,23,23,,,33,
,BIOT,,,,,,,,1,1,,,,,1,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,3,3,,,,,3,
,TOXI,,,,,,,,,,6,6,,,6,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,1,,1,1,1,,,2,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,4,4,,,4,
,Subtotal,,1,1,1,,3,1,11,12,34,34,,,49,
,GEST,26,10,,,,36,,,,,,,,36,
,TEAM,,,,,,,,,,,,,,,
,Subtotal,26,10,,,,36,,,,,,,,36,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,PHLT,,,,,,,7,,7,,,,,7,
,REEP,2,12,30,16,,60,9,,9,,,,,69,
,Subtotal,2,12,30,16,,60,17,,17,,,,,77,
,Total,73,104,148,286,1,612,24,"1,447","1,471","1,888","1,888",,,"3,971",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
