Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,37,,37,,,,,37
,CHLS,,,,,,,15,,15,,,,,15
,CNPM,,,,,,,24,,24,,,,,24
,INTA,,,,,,,,89,89,,,,,89
,PSAA,,,,,,,,66,66,,,,,66
,Subtotal,,,,,,,76,155,231,,,,,231
Geosciences,ATMO,,,,,,,,21,21,10,10,,,31
,ENGS,7,17,27,47,,98,,,,,,,,98
,ENST,6,14,20,37,1,78,,,,,,,,78
,GEOG,2,7,16,41,,66,,12,12,14,14,,,92
,GEOL,18,16,21,51,1,107,,45,45,11,11,,,163
,GEOP,2,8,8,7,1,26,,11,11,2,2,,,39
,MARB,,,,,,,,2,2,,,,,2
,METR,26,15,25,34,1,101,,,,,,,,101
,OCNG,,,,,,,,18,18,21,21,,,39
,SPSG,1,1,1,1,,4,,,,,,,,4
,USGE,,,,2,,2,,,,,,,,2
,WMHS,,,,,,,,10,10,4,4,,,14
,Subtotal,62,78,118,220,4,482,,119,119,62,62,,,663
Liberal Arts,AMST,,,,1,,1,,,,,,,,1
,ANTH,9,18,36,50,1,114,1,56,57,44,44,,,215
,CLSS,2,2,4,8,,16,,,,,,,,16
,COMM,39,143,163,232,,577,,4,4,27,27,,,608
,ECON,21,64,116,160,2,363,,10,10,8,8,,,381
,ENGL,26,89,160,179,,454,,13,13,41,41,,,508
,FREN,,3,3,7,,13,,,,,,,,13
,GERM,,,3,2,1,6,,,,,,,,6
,HISP,,,,,,,,,,11,11,,,11
,HIST,28,110,139,238,1,516,1,6,7,43,43,,,566
,INTS,24,116,116,138,1,395,,,,,,,,395
,MODL,,,,,,,,1,1,,,,,1
,MUSC,3,1,4,7,,15,,,,,,,,15
,NRSC,,,,,,,,3,3,4,4,,,7
,NUTR,,,,,,,,1,1,,,,,1
,PERF,,,,,,,,7,7,,,,,7
,PHIL,6,12,19,20,,57,,10,10,6,6,,,73
,POLS,45,89,120,204,3,461,,3,3,25,25,,,489
,PSYC,50,172,284,349,1,856,1,12,13,38,38,,,907
,RUSS,,3,2,7,,12,,,,,,,,12
,SOCI,8,43,72,153,,276,1,3,4,19,19,,,299
,SPAN,,4,9,22,,35,,,,,,,,35
,TCMS,10,38,32,40,,120,,,,,,,,120
,TECR,,,,,1,1,,,,,,,,1
,THAR,4,4,9,15,,32,,,,,,,,32
