Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,,,1,1,,2,,,,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,1,,,,1,,,,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,1,1,1,,3,,,,,,,,3,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,,1,,,2,,,,,,,,2,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,1,,,2,,,,,,,,2,
,,2,4,1,,,7,,,,,,,,7,
,,2,4,1,,,7,,,,,,,,7,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,4,12,11,14,,41,1,1,2,2,2,,,45,
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
