Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,1,,1,4,,6,,,,1,1,,,7
,ALEC,9,4,19,29,1,62,3,2,5,7,7,,,74
,ANSC,,1,1,3,,5,,2,2,,,,,7
,BAEN,,1,2,4,,7,,,,3,3,,,10
,BCBP,7,3,5,8,,23,,1,1,1,1,,,25
,CLAG,3,5,2,,,10,,,,,,,,10
,ENTO,2,1,1,1,,5,,,,1,1,,,6
,ESSM,2,,,,,2,,1,1,2,2,,,5
,HRSC,,,,,,,,,,,,,,
,NFSC,1,2,4,8,,15,,2,2,,,,,17
,PLPM,,,4,6,,10,,,,1,1,,,11
,POSC,,,1,4,,5,,,,2,2,,,7
,RPTS,,3,9,,1,13,,,,5,5,,,18
,SCSC,,,,,,,,1,1,2,2,,,3
,WFSC,,,2,4,,6,,2,2,1,1,,,9
,Subtotal,25,20,51,71,2,169,3,11,14,26,26,,,209
Architecture,ARCH,1,1,,2,,4,,2,2,,,,,6
,CLAR,,,,1,,1,,,,,,,,1
,COSC,,1,6,1,,8,,1,1,,,,,9
,LAUP,1,1,3,1,,6,,2,2,2,2,,,10
,VIZA,,2,,1,,3,,,,,,,,3
,Subtotal,2,5,9,6,,22,,5,5,2,2,,,29
Business,ACCT,,,8,12,,20,,3,3,,,,,23
Admin,CLBA,15,20,4,7,,46,1,12,13,,,,,59
,,,,,,,,,,,,,,,
,FINC,,,6,4,,10,,2,2,,,,,12
,INFO,,,4,11,,15,,1,1,,,,,16
,MGMT,,,2,8,,10,,2,2,1,1,,,13
,MKTG,,,3,6,,9,,1,1,,,,,10
,Subtotal,15,20,27,48,,110,1,21,22,1,1,,,133
Education,CLED,,,,,,,,,,,,,,
,EAHR,1,,8,12,,21,2,16,18,43,43,,,82
,EPSY,,1,,3,,4,,7,7,12,12,,,23
,HLKN,10,12,34,17,1,74,,12,12,9,9,,,95
,TLAC,3,3,5,11,,22,,12,12,44,44,,,78
,Subtotal,14,16,47,43,1,121,2,47,49,108,108,,,278
