Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,1,,,1,,2,,,,,,,,2
,ALEC,,,5,3,,8,,,,,,,,8
,ANSC,1,1,2,3,,7,,,,,,,,7
,BAEN,,,,1,,1,,,,,,,,1
,BCBP,,,,1,,1,,,,1,1,,,2
,CLAG,,,,,,,,,,,,,,
,ENTO,1,,,1,,2,,,,,,,,2
,ESSM,,,,2,,2,,,,,,,,2
,HRSC,,,,3,,3,,,,,,,,3
,NFSC,,,,,,,,,,,,,,
,PLPM,,,1,,,1,,,,,,,,1
,POSC,,,1,1,,2,,,,,,,,2
,RPTS,,,1,,,1,,,,,,,,1
,SCSC,,,,1,,1,,,,,,,,1
,WFSC,,,,,,,,1,1,,,,,1
,Subtotal,3,1,10,17,,31,,1,1,1,1,,,33
Architecture,ARCH,,,,,,,,1,1,1,1,,,2
,CLAR,,,,,,,,,,,,,,
,COSC,,1,,3,,4,,,,,,,,4
,LAUP,,,,,,,,,,,,,,
,VIZA,,,,1,,1,,,,,,,,1
,Subtotal,,1,,4,,5,,1,1,1,1,,,7
Business,ACCT,,,,,,,,,,,,,,
Admin,CLBA,,,,1,,1,,,,,,,,1
,,,,,,,,,,,,,,,
,FINC,,,1,,,1,,1,1,,,,,2
,INFO,,,,1,,1,,,,,,,,1
,MGMT,,,1,,,1,,,,,,,,1
,MKTG,,,,,,,,,,,,,,
,Subtotal,,,2,2,,4,,1,1,,,,,5
Education,CLED,,,,,1,1,,,,,,,,1
,EAHR,,,1,,,1,,,,2,2,,,3
,EPSY,,,,,,,,,,,,,,
,HLKN,,2,1,3,,6,,,,,,,,6
,TLAC,,,,1,,1,,1,1,1,1,,,3
,Subtotal,,2,2,4,1,9,,1,1,3,3,,,13
