Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,,1,1,,2,,,,,,,,2
,ALEC,,,,,,,,,,1,1,,,1
,ANSC,,,,2,,2,,,,,,,,2
,BAEN,,,1,,,1,,,,,,,,1
,BCBP,1,,1,,,2,,,,2,2,,,4
,CLAG,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,
,ESSM,,,1,,,1,,,,,,,,1
,HRSC,,,,,,,,,,,,,,
,NFSC,,,,,,,,,,,,,,
,PLPM,,,,,,,,,,1,1,,,1
,POSC,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,
,SCSC,,,,,,,,,,,,,,
,WFSC,,1,1,,,2,,,,1,1,,,3
,Subtotal,1,1,5,3,,10,,,,5,5,,,15
Architecture,ARCH,,,,,,,,,,2,2,,,2
,CLAR,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,
,LAUP,,,,,,,,2,2,,,,,2
,VIZA,,1,,,,1,,1,1,,,,,2
,Subtotal,,1,,,,1,,3,3,2,2,,,6
Business,ACCT,,,1,,,1,,1,1,1,1,,,3
Admin,CLBA,,3,,,,3,,5,5,,,,,8
,,,,,,,,,,,,,,,
,FINC,,,,1,,1,,,,1,1,,,2
,INFO,,,,,,,,,,,,,,
,MGMT,,,,,,,,2,2,3,3,,,5
,MKTG,,,,,,,,,,,,,,
,Subtotal,,3,1,1,,5,,8,8,5,5,,,18
Education,CLED,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,1,1,,,1
,EPSY,,,,,,,,1,1,1,1,,,2
,HLKN,,,,,,,,,,,,,,
,TLAC,,,,1,,1,,2,2,2,2,,,5
,Subtotal,,,,1,,1,,3,3,4,4,,,8
