Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,147,194,151,297,5,794,,9,9,38,38,,,841,
,,33,31,33,53,1,151,,22,22,81,81,,,254,
,,,,3,11,,14,,,,,,,,14,
,,36,56,59,99,1,251,1,36,37,24,24,,,312,
,,26,17,15,34,,92,2,24,26,42,42,,,160,
,,,,,,,,21,49,70,10,10,,,80,
,,242,298,261,494,7,"1,302",24,140,164,195,195,,,"1,661",
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,208,269,180,311,,968,,8,8,1,1,442,442,"1,419",
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,8,8,10,10,,,18,
,,,,,,,,1,8,9,1,1,,,10,
,,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,9,9,18,18,,,27,
,,,,,,,,,10,10,8,8,,,18,
,,208,269,180,311,,968,1,44,45,39,39,442,442,"1,494",
,,"1,321","1,256",107,,,"2,684",,,,,,,,"2,684",
,,"1,321","1,256",107,,,"2,684",,,,,,,,"2,684",
,,,,,,,,3,,3,,,,,3,
,,,,,,,,,2,2,,,,,2,
,,,,1,,,1,,,,,,,,1,
,,,,,,,,13,,13,,,,,13,
,,,,1,,,1,16,2,18,,,,,19,
,,"3,814","5,873","6,353","10,201",91,"26,332",156,"2,420","2,576","1,367","1,367",442,442,"30,717",
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
