Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,
,CHLS,,,,,,,1,,1,,,,,1
,CNPM,,,,,,,,,,,,,,
,INTA,,,,,,,,3,3,,,,,3
,PSAA,,,,,,,,2,2,,,,,2
,Subtotal,,,,,,,1,5,6,,,,,6
Geosciences,ATMO,,,,,,,,,,,,,,
,ENGS,,1,,1,,2,,,,,,,,2
,ENST,,,1,,,1,,,,,,,,1
,GEOG,,,,2,,2,,,,1,1,,,3
,GEOL,1,,,1,,2,,1,1,,,,,3
,GEOP,,,1,,,1,,,,,,,,1
,MARB,,,,,,,,,,,,,,
,METR,,,2,,,2,,,,,,,,2
,OCNG,,,,,,,,,,,,,,
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,1,1,,,1
,Subtotal,1,1,4,4,,10,,1,1,2,2,,,13
Liberal Arts,AMST,,,,,,,,,,,,,,
,ANTH,2,3,1,,,6,,3,3,1,1,,,10
,CLSS,,,,,,,,,,,,,,
,COMM,2,3,4,12,,21,,,,,,,,21
,ECON,2,3,,5,,10,,,,,,,,10
,ENGL,,3,6,4,,13,,,,1,1,,,14
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,4,3,4,,12,,1,1,1,1,,,14
,INTS,3,5,3,5,,16,,,,,,,,16
,MODL,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,
,PHIL,,,2,,,2,,,,,,,,2
,POLS,2,3,4,6,,15,,,,,,,,15
,PSYC,2,7,5,5,,19,,,,,,,,19
,RUSS,,,,,,,,,,,,,,
,SOCI,,,,1,,1,,1,1,2,2,,,4
,SPAN,,,,,,,,,,,,,,
,TCMS,,2,1,1,,4,,,,,,,,4
,TECR,,,,,,,,,,,,,,
,THAR,,,,1,,1,,,,,,,,1
