Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,1,1,4,,6,,38,38,50,50,,,94
,ALEC,,,1,5,,6,,2,2,3,3,,,11
,ANSC,1,,,1,,2,,5,5,6,6,,,13
,BAEN,1,2,2,2,,7,,15,15,36,36,,,58
,BCBP,,2,2,6,,10,,19,19,35,35,,,64
,CLAG,,,,,,,,,,,,,,
,ENTO,,,,,,,,1,1,11,11,,,12
,ESSM,,,,,,,,6,6,11,11,,,17
,HRSC,,,,,,,,3,3,12,12,,,15
,NFSC,,2,1,2,,5,,10,10,13,13,,,28
,PLPM,,,1,2,,3,,3,3,9,9,,,15
,POSC,,,1,,,1,,5,5,9,9,,,15
,RPTS,,,,2,,2,,8,8,19,19,,,29
,SCSC,,1,,,,1,,12,12,32,32,,,45
,WFSC,,,,,,,,7,7,15,15,,,22
,Subtotal,2,8,9,24,,43,,134,134,261,261,,,438
Architecture,ARCH,,1,,1,,2,,33,33,34,34,,,69
,CLAR,,,,,,,,,,,,,,
,COSC,,1,1,1,,3,,22,22,,,,,25
,LAUP,,,,,,,,53,53,42,42,,,95
,VIZA,,,1,1,,2,,13,13,,,,,15
,Subtotal,,2,2,3,,7,,121,121,76,76,,,204
Business,ACCT,,,7,7,,14,,10,10,,,,,24
Admin,CLBA,3,6,2,1,,12,,19,19,,,,,31
,,,,,,,,,,,,,,,
,FINC,,,2,6,,8,,3,3,6,6,,,17
,INFO,,,1,3,,4,,87,87,7,7,,,98
,MGMT,,,1,1,,2,,1,1,5,5,,,8
,MKTG,,,,1,,1,,5,5,7,7,,,13
,Subtotal,3,6,13,19,,41,,125,125,25,25,,,191
Education,CLED,,,,,,,,,,,,,,
,EAHR,,,1,,,1,,9,9,14,14,,,24
,EPSY,,,,2,,2,,15,15,31,31,,,48
,HLKN,2,2,3,1,,8,,12,12,20,20,,,40
,TLAC,,,,,,,1,29,30,32,32,,,62
,Subtotal,2,2,4,3,,11,1,65,66,97,97,,,174
