Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,,2,,2,,1,1,,,,,3,
,AGCJ,,,,1,,1,,,,,,,,1,
,AGEC,,,,2,,2,,1,1,1,1,,,4,
,AGLS,,1,,,,1,,,,,,,,1,
,AGRO,,1,,1,,2,1,,1,,,,,3,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,1,1,,,1,
,ALED,,,1,1,,2,,,,,,,,2,
,ANBR,,,,,,,,,,,,,,,
,ANSC,1,1,2,5,,9,,,,,,,,9,
,BAEN,2,1,,9,1,13,,,,1,1,,,14,
,BESC,1,2,3,9,,15,,,,,,,,15,
,BICH,12,10,11,20,1,54,,2,2,,,,,56,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,1,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,1,1,,,2,,2,2,,,,,4,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,1,2,,3,,,,,,,,3,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,1,1,1,1,,,2,
,FSTC,,2,1,3,1,7,,,,,,,,7,
,GENE,3,2,1,4,,10,,,,1,1,,,11,
,HORT,,,,,,,,,,1,1,,,1,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,4,3,10,17,1,35,,,,,,,,35,
,NUTR,,,,,,,,2,2,,,,,2,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,,,,,,,,,,,,,,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,1,1,,,1,
,RPTS,,1,2,3,,6,,1,1,1,1,,,8,
,SOSC,,,,,,,,,,2,2,,,2,
