Spring 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Architecture,ARCH,,,,,,1,,103,3,1,49,,157
,COMG,,,,,1,,,42,,,,,43
,COSC,,,2,351,,,,,,,,,353
,COSL,,12,5,204,,,,,,,,,221
,ENDL,,3,2,177,,,,,,,,,182
,ENDS,,,4,152,,,,,,,,,156
,LAND,,,,68,,,,38,,,,,106
,LANL,,,1,43,,,,,,,,,44
,LDEV,,,,,,5,,28,,,,,33
,NUTR,,,,,,,,,,,1,,1
,URPL,,,,,1,,,46,,,,,47
,URSC,,1,,77,,,,,,,53,,131
,USAR,,,2,43,,,,,,,,,45
,VISL,3,3,1,117,,,,,,,,,124
,VIST,,,,73,,,1,75,,,,,149
,Subtotal,3,19,17,"1,305",2,6,1,332,3,1,103,,"1,792"
Business Admin,ACCT,,,,657,,24,1,105,,,19,,806
,AGBU,,,,6,,,,,,,,,6
,BHNR,,,,157,,,,,,,,,157
,BUAD,8,,3,"1,422",2,1,,77,,,,,"1,513"
,BUAG,,,,11,,,,,,,,,11
,EMBA,,,,,,,,103,,,,,103
,FINC,,,,548,,22,1,87,,,12,,670
,INFO,,,2,434,,,,,,,7,,443
,MGMT,,,3,261,,2,,38,,,20,,324
,MISY,,,,,,16,1,138,,,,,155
,MKTG,,,2,396,,2,,28,,,10,,438
,MLER,,,,,,14,,37,,,,,51
,USBU,,,2,146,,,,,,,,,148
,Subtotal,8,,12,"4,038",2,81,3,613,,,68,,"4,825"
Education,BIED,,,,,,,,17,,,,,17
,CPSY,,,,,,,,9,3,,27,,39
,EDAD,,,,,,2,1,71,9,2,155,,240
,EDCI,,,,,2,51,3,183,22,,158,,419
,EDHL,3,11,2,460,,,,,,,,,476
,EDIS,1,33,5,511,,,,,,,,,550
,EDKI,1,12,,547,,,,,,,,,560
,EDSM,1,11,1,175,,,,,,,,,188
,EDTC,,,,,,,,15,,,,,15
,EHRD,,,,,,21,3,54,1,2,75,,156
,EPSY,,,,,2,1,1,28,1,2,84,,119
,HEED,,,,,,3,,27,,,22,,52
,HLTH,,,,248,,,,,,,,,248
,HRDL,,3,2,108,,,,,,,,,113
,HRDV,,,1,122,,,,,,,,,123
,INST,,3,5,929,,,,,,,,,937
,KINE,,,2,276,,2,,41,,,50,,371
,NUTR,,,,,,,,1,,,,,1
,PHED,,,,,,,,1,,,,,1
,SPED,,,,,,,,20,,,,,20
,SPMT,,,,168,,4,,42,,,,,214
,SPSY,,,,,,,,4,5,,32,,41
,TCMG,,,2,51,,,,,,,,,53
,TCML,,5,6,61,,,,,,,,,72
,TECR,,,,9,,,,,,,,,9
,USEH,,,,2,,,,,,,,,2
,Subtotal,6,78,26,"3,667",4,84,8,513,41,6,603,,"5,036"
