Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,2,12,14,,,,,14,
,AGBL,17,38,36,3,,94,,,,,,,,94,
,AGBU,,,37,103,,140,,17,17,,,,,157,
,AGCJ,12,44,81,96,1,234,,,,,,,,234,
,AGEC,7,26,78,176,2,289,,17,17,12,12,,,318,
,AGLS,5,21,26,13,,65,,,,,,,,65,
,AGRO,3,24,22,60,,109,3,13,16,7,7,,,132,
,AGSC,3,24,34,49,1,111,,,,,,,,111,
,AGSM,3,22,28,66,,119,,2,2,,,,,121,
,ALEC,,,,,,,6,58,64,46,46,,,110,
,ALED,17,54,124,178,1,374,,,,,,,,374,
,ANBR,,,,,,,,5,5,3,3,,,8,
,ANSC,69,130,185,234,8,626,5,44,49,16,16,,,691,
,BAEN,24,35,29,50,1,139,,17,17,4,4,,,160,
,BESC,7,19,32,56,,114,,,,,,,,114,
,BICH,15,18,23,34,2,92,,11,11,34,34,,,137,
,BIOT,,,,,,,,1,1,,,,,1,
,CDEV,1,,9,12,,22,,,,,,,,22,
,DASC,,,,,,,,2,2,,,,,2,
,ECOR,2,4,2,8,,16,,,,,,,,16,
,ENST,2,5,8,7,,22,,,,,,,,22,
,ENTO,1,10,9,23,1,44,,8,8,17,17,,,69,
,FISC,,,,,,,,2,2,,,,,2,
,FIVL,9,5,15,2,,31,,,,,,,,31,
,FIVS,,,3,16,,19,,,,,,,,19,
,FLOR,,,,1,,1,,,,,,,,1,
,FORS,1,2,3,10,,16,,3,3,4,4,,,23,
,FSTC,4,11,23,42,1,81,,13,13,6,6,,,100,
,GENE,3,13,18,20,1,55,1,10,11,15,15,,,81,
,HORT,3,25,41,79,,148,,10,10,3,3,,,161,
,MEPS,,,,,,,,1,1,3,3,,,4,
,NRDV,,,,,,,,27,27,,,,,27,
,NUSC,34,48,75,133,7,297,,,,,,,,297,
,NUTR,,,,,,,1,12,13,5,5,,,18,
,PLBR,,,,,,,,16,16,13,13,,,29,
,PLPA,,,,,,,,3,3,4,4,,,7,
,POSC,3,23,30,50,1,107,1,10,11,2,2,,,120,
,PPRO,,,,,,,,1,1,,,,,1,
,PREP,,,,,,,,1,1,4,4,,,5,
,PSSC,,1,,4,,5,,,,,,,,5,
,RENR,3,6,16,21,,46,,,,,,,,46,
,RLEM,5,9,18,15,1,48,,17,17,10,10,,,75,
,RPTS,9,73,107,150,1,340,,12,12,15,15,,,367,
,SOSC,,,,,,,,9,9,11,11,,,20,
