Spring 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Education,BIED,,17,,,17
,CPSY,,9,30,,39
,EDAD,,74,166,,240
,EDCI,,239,180,,419
,EDHL,476,,,,476
,EDIS,550,,,,550
,EDKI,560,,,,560
,EDSM,188,,,,188
,EDTC,,15,,,15
,EHRD,,78,78,,156
,EPSY,,32,87,,119
,HEED,,30,22,,52
,HLTH,248,,,,248
,HRDL,113,,,,113
,HRDV,123,,,,123
,INST,937,,,,937
,KINE,278,43,50,,371
,NUTR,,1,,,1
,PHED,,1,,,1
,SPED,,20,,,20
,SPMT,168,46,,,214
,SPSY,,4,37,,41
,TCMG,53,,,,53
,TCML,72,,,,72
,TECR,9,,,,9
,USEH,2,,,,2
,Subtotal,"3,777",609,650,,"5,036"
