Top 10,,,,,,,,
Spring 2012  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students   % Total,,,,,
United States,,,393,,,76.6%,,
"China, People's Rep of",,,28,,,5.5%,,
India,,,15,,,2.9%,,
Iran,,,11,,,2.1%,,
"Korea, Republic of",,,11,,,2.1%,,
Colombia,,,5,,,1.0%,,
Mexico,,,5,,,1.0%,,
Egypt (A.R.E.),,,4,,,0.8%,,
Brazil,,,3,,,0.6%,,
Jordan,,,3,,,0.6%,,
Texas County     Students   % Total,,,,,,,,
Harris,,63,,,12.3%,,,
Brazos,,38,,,7.4%,,,
Dallas,,19,,,3.7%,,,
Fort Bend,,16,,,3.1%,,,
Bexar,,15,,,2.9%,,,
Montgomery,,15,,,2.9%,,,
Williamson,,15,,,2.9%,,,
Hidalgo,,12,,,2.3%,,,
Tarrant,,12,,,2.3%,,,
Bell,,9,,,1.8%,,,
State,Students   % Total,,,,,,,
Texas,350,,,68.2%,,,,
California,3,,,0.6%,,,,
Kansas,3,,,0.6%,,,,
New Mexico,3,,,0.6%,,,,
Iowa,2,,,0.4%,,,,
Illinois,2,,,0.4%,,,,
Georgia,2,,,0.4%,,,,
Colorado,2,,,0.4%,,,,
Alabama,2,,,0.4%,,,,
Maryland,2,,,0.4%,,,,
Page 142,,,,,,,,
