Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,4,,2,6,,12,,13,13,31,31,,,56
,BMEN,,1,,3,,4,,8,8,24,24,,,36
,CHEN,,3,5,25,,33,,49,49,59,59,,,141
,CLEN,,,,,,,,,,1,1,,,1
,CSCE,5,5,11,19,,40,,103,103,83,83,,,226
,CVEN,1,4,9,15,1,30,,100,100,136,136,,,266
,ECEN,7,11,12,36,,66,,181,181,203,203,,,450
,ETID,,2,5,8,,15,,1,1,,,,,16
,ISEN,6,9,6,16,,37,,116,116,43,43,,,196
,MEEN,1,1,4,10,,16,3,73,76,198,198,,,290
,NUEN,,4,4,7,,15,,17,17,22,22,,,54
,PETE,4,9,11,36,,60,,101,101,91,91,,,252
,Subtotal,28,49,69,181,1,328,3,762,765,891,891,,,"1,984"
"G. Bush School of Govt
Geosciences
Liberal Arts",BUSH,,,,,,,,25,25,,,,,25
,Subtotal,,,,,,,,25,25,,,,,25
,ATMO,1,,,,,1,,2,2,14,14,,,17
,CLGE,,,,,,,,,,,,,,
,GEOG,,1,,,,1,,8,8,19,19,,,28
,GEPL,3,3,4,8,,18,,15,15,31,31,,,64
,OCNG,,,,,,,,6,6,19,19,,,25
,Subtotal,4,4,4,8,,20,,31,31,83,83,,,134
,ANTH,,,,1,,1,,5,5,8,8,,,14
,CLED,,,,,,,,,,,,,,
,CLLA,,,2,3,,5,,,,,,,,5
,COMM,,,,2,,2,,1,1,8,8,,,11
,ECON,2,3,3,7,,15,,65,65,50,50,,,130
,ENGL,,,1,,,1,,2,2,19,19,,,22
,EURO,,,,1,,1,,,,,,,,1
,HISP,,,,,,,,4,4,5,5,,,9
,HIST,,,1,1,,2,,2,2,2,2,,,6
,PHUM,,,,,,,,,,,,,,
,POLS,,,2,,,2,,1,1,9,9,,,12
,PRFM,,,,,,,,1,1,,,,,1
,PSYC,,3,3,2,,8,,4,4,10,10,,,22
,SOCI,,1,2,1,,4,,1,1,7,7,,,12
,Subtotal,2,7,14,18,,41,,86,86,118,118,,,245
