Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,,,1,,,1,,,,,,,,1,
,,,1,,1,,2,,1,1,1,1,,,4,
,,,,,,,,,,,,,,,,
,,1,,,1,,2,,1,1,,,,,3,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,2,3,,,,,3,
,,1,1,1,2,,5,1,4,5,2,2,,,12,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,1,,,,2,,,,,,7,7,9,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,1,,,,2,,,,,,7,7,9,
,,7,1,,,,8,,,,,,,,8,
,,7,1,,,,8,,,,,,,,8,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,1,,1,,,,,,,,1,
,,,,,,,,5,,5,,,,,5,
,,,,,1,,1,6,,6,,,,,7,
,,12,18,24,22,,76,9,34,43,33,33,7,7,159,
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
