Spring 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Business Admin,ACCT,628,,51,23,69,,8,24,3,806
,AGBU,6,,,,,,,,,6
,BHNR,131,1,7,2,15,,1,,,157
,BUAD,"1,128",,88,44,192,2,26,29,4,"1,513"
,BUAG,10,,,,,,1,,,11
,EMBA,69,,7,7,15,,,1,4,103
,FINC,529,2,31,12,72,,7,15,2,670
,INFO,308,1,32,15,68,1,7,11,,443
,MGMT,249,1,16,13,29,,3,8,5,324
,MISY,54,,7,1,6,,,87,,155
,MKTG,353,,10,10,43,1,8,13,,438
,MLER,42,,1,,6,,,2,,51
,USBU,116,,4,6,14,,7,1,,148
,Subtotal,"3,623",5,254,133,529,4,68,191,18,"4,825"
Education,BIED,3,,,1,10,,,3,,17
,CPSY,15,,3,6,12,,2,1,,39
,EDAD,127,2,6,40,63,,,1,1,240
,EDCI,239,2,5,56,42,,9,62,4,419
,EDHL,345,1,15,18,86,,10,1,,476
,EDIS,448,,1,12,78,,11,,,550
,EDKI,398,1,17,17,103,1,20,3,,560
,EDSM,138,,1,18,25,,5,1,,188
,EDTC,9,,,,4,,,2,,15
,EHRD,82,,5,21,25,,1,22,,156
,EPSY,50,,4,5,18,,2,38,2,119
,HEED,24,,3,7,11,,1,6,,52
,HLTH,200,,6,9,30,,3,,,248
,HRDL,74,1,6,9,21,,1,1,,113
,HRDV,93,,4,6,18,,2,,,123
,INST,800,1,7,14,106,,6,2,1,937
,KINE,267,3,11,10,53,,2,25,,371
,NUTR,,,1,,,,,,,1
,PHED,1,,,,,,,,,1
,SPED,14,,1,3,2,,,,,20
,SPMT,165,1,1,16,24,,3,4,,214
,SPSY,22,,3,4,9,,1,2,,41
,TCMG,31,,5,2,13,,2,,,53
