Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,4,,,1,,5,,,,,,,,5
,AERO,,,2,5,,7,,13,13,29,29,,,49
,BIOT,,,,,,,,12,12,,,,,12
,BMEL,,1,,,,1,,,,,,,,1
,BMEN,,,,3,,3,,8,8,22,22,,,33
,CECL,1,1,2,2,,6,,,,,,,,6
,CECN,,1,3,5,,9,,27,27,36,36,,,72
,CEEL,1,3,1,,,5,,,,,,,,5
,CEEN,,1,,7,,8,,54,54,24,24,,,86
,CHEL,,1,1,1,,3,,,,,,,,3
,CHEN,,2,4,24,,30,,28,28,49,49,,,107
,CPSC,,1,2,11,,14,,76,76,47,47,,,137
,CPSL,4,2,4,1,,11,,,,,,,,11
,CVEL,1,1,,,,2,,,,,,,,2
,CVEN,,3,8,14,,25,,80,80,115,115,,,220
,ELEL,6,4,4,1,,15,,,,,,,,15
,ELEN,,3,7,28,,38,,127,127,177,177,,,342
,ENGR,,,,,,,,,,1,1,,,1
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,1,3,,4,,,,,,,,4
,ENTL,,1,1,1,,3,,,,,,,,3
,HLPH,,,,,,,,,,,,,,
,IDIL,,1,2,,,3,,,,,,,,3
,IDIS,,,1,4,,5,,1,1,,,,,6
,INEL,6,2,2,2,,12,,,,,,,,12
,INEN,,7,4,14,,25,,115,115,43,43,,,183
,ITDE,,,,,,,,,,,,,,
,MEEL,,,1,,,1,,,,,,,,1
,MEEN,1,1,3,10,,15,3,57,60,164,164,,,239
,MSEN,,,,,,,,16,16,51,51,,,67
,NUEL,,1,,,,1,,,,,,,,1
,NUEN,,2,4,7,,13,,17,17,21,21,,,51
,OCEL,,,1,,,1,,,,,,,,1
,OCEN,,,,1,1,2,,20,20,21,21,,,43
,PETE,,2,6,34,,42,,101,101,91,91,,,234
,PETL,4,7,5,2,,18,,,,,,,,18
,RHEL,,,,,,,,,,,,,,
,RHEN,,1,,,,1,,,,,,,,1
,SENG,,,,,,,,9,9,,,,,9
,USEN,,,,,,,,,,,,,,
,Subtotal,28,49,69,181,1,328,3,762,765,891,891,,,"1,984"
