Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,,,,,,,,,,,,,,
,AERO,,,1,1,,2,,,,1,1,,,3
,BIOT,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,
,BMEN,,1,1,,,2,,,,1,1,,,3
,CECL,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,
,CEEL,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,
,CHEL,,,,,,,,,,,,,,
,CHEN,,,2,1,,3,,,,,,,,3
,CPSC,,,,,,,,2,2,1,1,,,3
,CPSL,1,,,,,1,,,,,,,,1
,CVEL,,,,,,,,,,,,,,
,CVEN,,,,1,,1,,1,1,1,1,,,3
,ELEL,1,,1,,,2,,,,,,,,2
,ELEN,,,,1,,1,,1,1,1,1,,,3
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,
,INEL,,,2,,,2,,,,,,,,2
,INEN,,1,,2,,3,,1,1,,,,,4
,ITDE,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,
,MEEN,,,2,,,2,,,,,,,,2
,MSEN,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,
,NUEN,,,,1,,1,,,,1,1,,,2
,OCEL,,1,,,,1,,,,,,,,1
,OCEN,,,,,,,,,,,,,,
,PETE,,1,,,,1,,5,5,1,1,,,7
,PETL,,1,,,,1,,,,,,,,1
,RHEL,,,,,,,,,,,,,,
,RHEN,,,,,,,,,,,,,,
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,Subtotal,2,5,9,7,,23,,11,11,7,7,,,41
