Texas A&M University,,,,,,,,,,,,,,,,,
Data and Research Services,,,,,,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Spring 2012,,,,,,,,,,,,,,,,,
Student Head Count by Level (College Station Campus) Change by Level from Previous Spring,,,,,,,,,,,,,,,,,
Enrollment Profile – Spring 2012,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,,,,,,,
,,Undergraduate,,,Masters,,,PhD,,,Professional,,,Total,,,
,,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,
,6-8 SCH,"1,392             1,345",,3.5%,711                665,,6.9%,176                181,,-2.8%,1,,,"2,280             2,191",,4.1%,
,9-11 SCH,"1,737             1,798",,-3.4%,"2,497            2,756",,-9.4%,"3,006             2,981",,0.8%,1,,,"7,240            7,536",,-3.9%,
,12-14 SCH,"18,842          18,949",,-0.6%,781                695,,12.4%,103                  88,,17.0%,,,,"19,726          19,732",,0.0%,
,15-17 SCH,"12,970           12,697",,2.2%,96                  96,,0.0%,20                  20,,0.0%,2,,,"13,088           12,813",,2.1%,
,>17 SCH,"1,118            1,005",,11.2%,86                  65,,32.3%,2                    2,,,517               513,,0.8%,"1,723             1,585",,8.7%,
Ft/Pt: TAMU Status,Less Than Half Time,"1,028             1,076",,-4.5%,685                518,,32.2%,554               494,,12.1%,,,,"2,267           2,088",,8.6%,
,Half-Time,"3,128            2,870",,9.0%,821                813,,1.0%,305                352,,-13.4%,1                   1,,0.0%,"4,255            4,036",,5.4%,
,Full-Time,"32,999         33,006",,0.0%,"3,451            3,674",,-6.1%,"3,127             3,105",,0.7%,519               512,,1.4%,"40,096          40,297",,-0.5%,
Top 10% Texas High School,No,"21,649          22,263",,-2.8%,"4,864            4,814",,1.0%,"3,832            3,780",,1.4%,468              412,,13.6%,"30,813          31,269",,-1.5%,
,Yes,"15,506          14,689",,5.6%,93                 191,,-51.3%,154                 171,,-9.9%,52              102,,-49.0%,"15,805           15,153",,4.3%,
First Generation,No,"26,248           26,112",,0.5%,"2,374            2,819",,-15.8%,"2,071            2,057",,0.7%,81               133,,-39.1%,"30,774           31,121",,-1.1%,
,Unknown,"1,339             1,249",,7.2%,"1,579                944",,67.3%,720                656,,9.8%,413              345,,19.7%,"4,051             3,194
Pa",,"26.8%
ge 1",
,Yes,"9,568             9,591",,-0.2%,"1,004             1,242",,-19.2%,"1,195            1,238",,-3.5%,26                36,,-27.8%,"11,793           12,107",,-2.6%,
"Prepared by DARS, 01/12/2012",,,,,,,,,,,,,,,,,
