Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,7,8,2,5,,22,,2,2,,,,,24
,BMEN,3,4,3,6,,16,,1,1,,,,,17
,CHEN,1,2,2,6,,11,,1,1,,,,,12
,CLEN,,,,,,,,,,,,,,
,CSCE,2,1,6,2,,11,,2,2,,,,,13
,CVEN,6,1,2,3,,12,,,,1,1,,,13
,ECEN,3,8,5,6,,22,,1,1,1,1,,,24
,ETID,1,4,2,7,,14,,,,,,,,14
,ISEN,,2,5,2,,9,,1,1,,,,,10
,MEEN,2,5,2,3,,12,,3,3,1,1,,,16
,NUEN,,3,2,2,,7,,2,2,,,,,9
,PETE,2,3,3,2,,10,,2,2,,,,,12
,Subtotal,27,41,34,44,,146,,15,15,3,3,,,164
"G. Bush School of Govt
Geosciences
Liberal Arts",BUSH,,,,,,,1,5,6,,,,,6
,Subtotal,,,,,,,1,5,6,,,,,6
,ATMO,,,2,,,2,,,,,,,,2
,CLGE,,1,,1,,2,,,,,,,,2
,GEOG,,,1,2,,3,,,,2,2,,,5
,GEPL,1,,1,1,,3,,1,1,,,,,4
,OCNG,,,,,,,,,,,,,,
,Subtotal,1,1,4,4,,10,,1,1,2,2,,,13
,ANTH,2,3,1,,,6,,3,3,1,1,,,10
,CLED,,,,,,,,,,,,,,
,CLLA,3,5,3,5,,16,,,,,,,,16
,COMM,2,5,5,13,,25,,,,,,,,25
,ECON,2,3,,5,,10,,,,,,,,10
,ENGL,,3,6,4,,13,,,,1,1,,,14
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,4,3,4,,12,,1,1,1,1,,,14
,PHUM,,,2,,,2,,,,,,,,2
,POLS,2,3,4,6,,15,,,,,,,,15
,PRFM,,,,1,,1,,,,,,,,1
,PSYC,2,7,5,5,,19,,,,,,,,19
,SOCI,,,,1,,1,,1,1,2,2,,,4
,Subtotal,14,33,29,44,,120,,5,5,5,5,,,130
