Top 10,,,,,,,,,
Spring 2012  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students   % Total,,,,,,
United States,,,42608,,,,91.4%,,
"China, People's Rep of",,,1164,,,,2.5%,,
India,,,696,,,,1.5%,,
"Korea, Republic of",,,459,,,,1.0%,,
Taiwan,,,185,,,,0.4%,,
Iran,,,137,,,,0.3%,,
Mexico,,,111,,,,0.2%,,
Turkey,,,109,,,,0.2%,,
Saudi Arabia,,,61,,,,0.1%,,
Nepal,,,53,,,,0.1%,,
Texas County     Students   % Total,,,,,,,,,
Harris,,7864,,,16.9%,,,,
Brazos,,2419,,,5.2%,,,,
Tarrant,,2369,,,5.1%,,,,
Bexar,,2323,,,5.0%,,,,
Dallas,,2253,,,4.8%,,,,
Fort Bend,,2046,,,4.4%,,,,
Collin,,1577,,,3.4%,,,,
Travis,,1548,,,3.3%,,,,
Montgomery,,1480,,,3.2%,,,,
Williamson,,1040,,,2.2%,,,,
State,Students   % Total,,,,,,,,
Texas,40177,,,86.2%,,,,,
California,286,,,0.6%,,,,,
Louisiana,149,,,0.3%,,,,,
Illinois,125,,,0.3%,,,,,
Florida,117,,,0.3%,,,,,
Colorado,107,,,0.2%,,,,,
Virginia,85,,,0.2%,,,,,
Pennsylvania,80,,,0.2%,,,,,
Oklahoma,74,,,0.2%,,,,,
New York,73,,,0.2%,,,,,
Page 139,,,,,,,,,
