Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,4,2,,6,,,,,,,,6,
,,,,1,3,,4,,,,,,,,4,
,,275,911,"1,296","1,837",11,"4,330",4,129,133,266,266,,,"4,729",
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,1,1,3,3,,,4,
,APMS,10,17,26,50,1,104,,,,,,,,104,
,BIOL,123,161,116,238,5,643,,7,7,21,21,,,671,
,BMCB,6,13,10,20,,49,,,,,,,,49,
,BOTN,,,,,,,,,,1,1,,,1,
,CHEM,33,31,33,53,1,151,,22,22,81,81,,,254,
,GENE,,,,,,,,,,2,2,,,2,
,MATH,26,39,33,49,,147,1,36,37,24,24,,,208,
,MBIO,10,9,12,15,,46,,1,1,4,4,,,51,
,MSEN,,,,,,,,,,,,,,,
,PHYS,26,17,15,34,,92,2,23,25,39,39,,,156,
,STAT,,,,,,,21,49,70,10,10,,,80,
,USSC,,,3,11,,14,,,,,,,,14,
,ZOOL,8,11,13,24,,56,,1,1,10,10,,,67,
,Subtotal,242,298,261,494,7,"1,302",24,140,164,195,195,,,"1,661",
,BIMS,208,269,180,310,,967,1,32,33,10,10,,,"1,010",
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,1,1,6,6,,,7,
,LAMD,,,,,,,,2,2,,,,,2,
,NUTR,,,,,,,,,,1,1,,,1,
,STJR,,,,,,,,3,3,,,,,3,
,TOXI,,,,,,,,2,2,6,6,,,8,
,USVM,,,,1,,1,,,,,,,,1,
,VPAT,,,,,,,,3,3,10,10,,,13,
,VPHY,,,,,,,,,,1,1,,,1,
,VTMD,,,,,,,,,,,,442,442,442,
,VTMI,,,,,,,,1,1,5,5,,,6,
,Subtotal,208,269,180,311,,968,1,44,45,39,39,442,442,"1,494",
,GEST,869,"1,083",105,,,"2,057",,,,,,,,"2,057",
,TEAM,452,173,2,,,627,,,,,,,,627,
,Subtotal,"1,321","1,256",107,,,"2,684",,,,,,,,"2,684",
,MARM,,,,,,,,2,2,,,,,2,
,MDSC,,,,,,,3,,3,,,,,3,
,PHLT,,,,,,,13,,13,,,,,13,
,REEP,,,1,,,1,,,,,,,,1,
,Subtotal,,,1,,,1,16,2,18,,,,,19,
,Total,"3,814","5,873","6,353","10,201",91,"26,332",156,"2,420","2,576","1,367","1,367",442,442,"30,717",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
