Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Germany,1,6,5,,12,
Ghana,,5,1,,6,
Greece,,1,1,,2,
Grenada,1,,1,,2,
Guatemala,10,3,5,,18,
Honduras,7,3,2,,12,
Hong Kong,5,,5,,10,
Hungary,2,,,,2,
Iceland,,1,,,1,
India,51,408,237,,696,
Indonesia,14,10,5,,29,
Iran,,29,108,,137,
Iraq,3,10,,,13,
Ireland,,,1,,1,
Israel,2,1,,,3,
Italy,,4,6,,10,
Jamaica,4,,1,,5,
Japan,5,5,16,,26,
Jordan,,3,9,,12,
Kazakhstan,2,3,1,,6,
Kenya,2,3,3,,8,
"Korea, Republic of",40,99,320,,459,
Kuwait,3,4,3,,10,
Latvia,1,1,,,2,
Lebanon,,1,11,,12,
Libya,,2,2,,4,
Lithuania,1,,,,1,
Macao,1,1,1,,3,
Malawi (Central Africa),,1,,,1,
Malaysia,21,7,8,,36,
Mauritius,,,1,,1,
Mexico,42,24,45,,111,
Mongolia,1,1,,,2,
Morocco,2,1,,,3,
Nepal,26,15,12,,53,
Netherlands,2,,,,2,
New Zealand,3,,3,,6,
Nicaragua,6,1,,,7,
Nigeria,11,15,12,,38,
Norway,2,,,,2,
Oman,2,2,3,,7,
Other Foreign or US,18,3,,,21,
Pakistan,9,6,9,,24,
Panama,9,1,8,,18,
Page 144,,,,,,
