Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,8,3,,,,11,,,,,,,,11
,AERO,,1,3,11,,15,,,,2,2,,,17
,BIOT,,,,,,,,3,3,,,,,3
,BMEL,4,3,2,,,9,,,,,,,,9
,BMEN,,1,4,21,,26,,9,9,1,1,,,36
,CECL,7,2,,2,,11,,,,,,,,11
,CECN,,2,3,5,,10,1,1,2,2,2,,,14
,CEEL,3,5,,3,,11,,,,,,,,11
,CEEN,,,2,1,,3,,,,1,1,,,4
,CHEL,3,9,3,2,,17,,,,,,,,17
,CHEN,,1,9,32,,42,,1,1,,,,,43
,CPSC,,3,4,9,,16,,5,5,2,2,,,23
,CPSL,7,6,6,,,19,,,,,,,,19
,CVEL,5,2,,,,7,,,,,,,,7
,CVEN,,2,8,9,,19,,8,8,4,4,,,31
,ELEL,17,14,5,4,,40,,,,,,,,40
,ELEN,,4,13,37,,54,,13,13,7,7,,,74
,ENGR,,,,,,,,,,2,2,,,2
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,,12,,12,,,,,,,,12
,ENTL,,1,6,1,,8,,,,,,,,8
,HLPH,,,,,,,,,,,,,,
,IDIL,,,1,,,1,,,,,,,,1
,IDIS,,,3,5,,8,,,,,,,,8
,INEL,,4,2,2,,8,,,,,,,,8
,INEN,,2,4,19,1,26,,6,6,3,3,,,35
,ITDE,,,,,,,,,,1,1,,,1
,MEEL,4,,1,,,5,,,,,,,,5
,MEEN,,2,15,18,,35,,8,8,4,4,,,47
,MSEN,,,,,,,,4,4,1,1,,,5
,NUEL,1,1,,,,2,,,,,,,,2
,NUEN,,2,1,3,,6,,2,2,2,2,,,10
,OCEL,,1,,,,1,,,,,,,,1
,OCEN,,1,,,,1,,2,2,,,,,3
,PETE,,2,3,15,,20,,8,8,1,1,,,29
,PETL,3,4,5,6,,18,,,,,,,,18
,RHEL,1,,,,,1,,,,,,,,1
,RHEN,,1,,3,,4,,,,,,,,4
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,Subtotal,63,79,103,220,1,466,1,71,72,33,33,,,571
