Headcount by Department by Ethnic Origin by Gender (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
Spring 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,131,84,,,4,4,8,3,40,17,,,9,1,5,9,,,197,118,315,
,CLED,,1,,,,,,,,,,,,,,,,,,1,1,
,CLLA,239,167,1,1,6,10,21,10,115,55,1,2,8,8,4,1,,1,395,255,650,
,COMM,564,164,2,,15,5,26,13,91,40,,,21,4,7,4,2,1,728,231,959,
,ECON,74,307,,1,8,34,6,13,16,67,1,1,1,9,56,74,,3,162,509,671,
,ENGL,389,119,4,2,13,4,20,3,95,31,,,9,5,13,9,1,,544,173,717,
,EURO,29,18,,,,,1,2,6,4,,,,,,1,1,,37,25,62,
,HISP,37,10,,,,,,,39,24,,,,,1,8,,,77,42,119,
,HIST,200,366,2,,3,3,8,10,50,56,,,8,6,3,3,2,3,276,447,723,
,PHUM,17,56,,2,3,3,1,1,4,11,,,,2,,,,3,25,78,103,
,POLS,167,322,1,3,11,18,16,17,58,78,,,6,9,8,4,1,4,268,455,723,
,PRFM,33,21,,,2,,1,3,8,8,,,1,,1,,,,46,32,78,
,PSYC,684,230,2,2,46,31,51,18,220,73,1,,17,2,11,11,4,1,"1,036",368,"1,404",
,SOCI,195,105,4,1,15,4,39,23,87,45,1,,2,2,8,4,1,1,352,185,537,
,Subtotal,"2,759","1,970",16,12,126,116,198,116,829,509,4,3,82,48,117,128,12,17,"4,143","2,919","7,062",
"Science
Veterinary Medicine
General Studies
Other - Special Populations",BIOL,475,366,3,4,82,103,33,18,179,141,2,,23,17,34,14,,1,831,664,"1,495",
,CHEM,116,138,,2,14,27,6,8,35,44,,,5,2,51,90,3,1,230,312,542,
,CLSC,6,8,,,,1,1,,1,1,,,,,,,,,8,10,18,
,MATH,137,175,,,14,12,7,6,26,57,1,,11,8,28,60,1,2,225,320,545,
,PHYS,25,135,1,,1,7,,3,7,31,,,2,6,8,79,,1,44,262,306,
,STAT,28,52,,,8,6,,2,3,7,,,1,3,28,22,1,2,69,94,163,
,Subtotal,787,874,4,6,119,156,47,37,251,281,3,,42,36,149,265,5,7,"1,407","1,662","3,069",
,CLVM,"1,041",378,4,1,104,65,39,13,250,101,1,1,25,16,6,3,5,4,"1,475",582,"2,057",
,VIBS,12,6,,,,2,2,,1,1,,,,,8,8,,,23,17,40,
,VLCS,9,1,1,,,,,,,,,,,,1,,,,11,1,12,
,VSCS,1,1,,,,,,,,2,,,,,2,3,,,3,6,9,
,VTPB,22,5,,,2,,2,,3,2,,,,,4,4,,,33,11,44,
,VTPP,14,4,,,1,2,1,,,,,,,,4,6,,,20,12,32,
,Subtotal,"1,099",395,5,1,107,69,44,13,254,106,1,1,25,16,25,24,5,4,"1,565",629,"2,194",
,GEST,"1,241","1,443",,8,76,124,82,94,368,408,3,4,44,43,8,28,3,5,"1,825","2,157","3,982",
,Subtotal,"1,241","1,443",,8,76,124,82,94,368,408,3,4,44,43,8,28,3,5,"1,825","2,157","3,982",
,CLMD,3,,,,,,,,1,,,,1,,,1,1,,6,1,7,
,MARS,2,,,,,,,,,,,,,,,,,,2,,2,
,SABX,,1,,,,,,,,,,,,,37,32,1,,38,33,71,
,SRPH,8,5,,,,2,3,,1,,,,,,6,1,4,1,22,9,31,
,Subtotal,13,6,,,,2,3,,2,,,,1,,43,34,6,1,68,43,111,
Total,,"14,654","16,063",65,79,886,"1,226",825,768,"3,499","3,568",20,25,402,408,"1,329","2,642",60,99,"21,740","24,878","46,618",
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,,,,,,,,
