Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,74,66,65,111,,316,,2,2,2,2,,,320,
,,22,11,17,16,,66,,1,1,12,12,,,79,
,,,,2,,,2,,,,,,,,2,
,,24,17,19,19,,79,2,1,3,1,1,,,83,
,,11,3,2,7,,23,,4,4,11,11,,,38,
,,,,,,,,3,6,9,1,1,,,10,
,,131,97,105,153,,486,5,14,19,27,27,,,532,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,82,93,48,81,,304,,,,,,47,47,351,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,4,4,1,1,,,5,
,,,,,,,,,,,,,,,,
,,82,93,48,81,,304,,7,7,2,2,47,47,360,
,,394,331,50,1,,776,,,,,,,,776,
,,394,331,50,1,,776,,,,,,,,776,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,2,,2,,,,,2,
,,"1,147","1,439","1,440","2,211",15,"6,252",26,392,418,350,350,47,47,"7,067",
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
