Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,62,100.0%,49,100.0%,,,,,111,100.0%,
,,32,51.6%,36,73.5%,,,,,68,61.3%,
,,30,48.4%,13,26.5%,,,,,43,38.7%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),1,1.6%,18,36.7%,,,,,19,17.1%,
,American Indian Only (NEW),,,,,,,,,,,
,Asian Only (NEW),,,2,4.1%,,,,,2,1.8%,
,Black Only + 2 or more/1 Black (NEW),,,3,6.1%,,,,,3,2.7%,
,Hispanic or Latino of any Race (NEW),,,2,4.1%,,,,,2,1.8%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),,,1,2.0%,,,,,1,.9%,
,International,60,96.8%,17,34.7%,,,,,77,69.4%,
,Unknown or Not Reported,1,1.6%,6,12.2%,,,,,7,6.3%,
,<18,,,,,,,,,,,
,18-21,29,46.8%,,,,,,,29,26.1%,
,22-25,31,50.0%,18,36.7%,,,,,49,44.1%,
,26-30,2,3.2%,18,36.7%,,,,,20,18.0%,
,31-39,,,7,14.3%,,,,,7,6.3%,
,40+,,,6,12.2%,,,,,6,5.4%,
,1st Time in College,,,,,,,,,,,
,1st Time PB,,,17,34.7%,,,,,17,15.3%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,62,100.0%,32,65.3%,,,,,94,84.7%,
,Resident Tuition,,,24,49.0%,,,,,24,21.6%,
,Non-Resident Tuition,62,100.0%,18,36.7%,,,,,80,72.1%,
,Tuition Exemption/Waiver,,,7,14.3%,,,,,7,6.3%,
,Texas Resident,,,26,53.1%,,,,,26,23.4%,
,"Non-TX, US Resident",,,6,12.2%,,,,,6,5.4%,
,"Non-TX, Non-US Resident",62,100.0%,17,34.7%,,,,,79,71.2%,
,< 6 SCH,,,29,59.2%,,,,,29,26.1%,
,6-8 SCH,,,9,18.4%,,,,,9,8.1%,
,9-11 SCH,,,4,8.2%,,,,,4,3.6%,
,12-14 SCH,38,61.3%,7,14.3%,,,,,45,40.5%,
,15-17 SCH,22,35.5%,,,,,,,22,19.8%,
,>17 SCH,2,3.2%,,,,,,,2,1.8%,
,Less Than Half Time,,,23,46.9%,,,,,23,20.7%,
,Half-Time,,,15,30.6%,,,,,15,13.5%,
,Full-Time,62,100.0%,11,22.4%,,,,,73,65.8%,
,No,62,100.0%,48,98.0%,,,,,110,99.1%,
,Yes,,,1,2.0%,,,,,1,.9%,
,No,1,1.6%,6,12.2%,,,,,7,6.3%,
,Unknown,61,98.4%,42,85.7%,,,,,103,92.8%,
,Yes,,,1,2.0%,,,,,1,.9%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
