Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,1,,1,,,,,1
,CHLS,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,
,INTA,,,,,,,,1,1,,,,,1
,PSAA,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,1,2,,,,,2
Geosciences,ATMO,,,,,,,,,,,,,,
,ENGS,,,,1,,1,,,,,,,,1
,ENST,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,,,,,
,GEOL,,,,,,,,,,,,,,
,GEOP,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,,,1,,1,,,,,,,,1
Liberal Arts,AMST,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,
,COMM,,,,,,,,,,,,,,
,ECON,,,,2,,2,,,,,,,,2
,ENGL,,,,,,,,,,,,,,
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,
,INTS,1,1,,1,,3,,,,,,,,3
,MODL,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,
,PHIL,,,,,,,,,,,,,,
,POLS,,,,,,,,,,,,,,
,PSYC,,,,1,,1,,,,,,,,1
,RUSS,,,,,,,,,,,,,,
,SOCI,,,,1,,1,,,,,,,,1
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
