Spring 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Education,TCML,40,,3,4,25,,,,,72
,TECR,7,1,,,1,,,,,9
,USEH,2,,,,,,,,,2
,Subtotal,"3,594",13,108,278,779,1,81,174,8,"5,036"
Engineering,AERL,174,1,11,5,52,,12,5,,260
,AERO,324,1,17,6,56,,12,49,3,468
,BIOT,1,,3,,2,,,12,,18
,BMEL,96,1,9,3,29,,7,1,,146
,BMEN,196,,36,8,38,,10,33,3,324
,CECL,94,1,11,6,33,1,3,6,,155
,CECN,96,2,14,8,19,,1,72,,212
,CEEL,55,,11,4,26,,,5,,101
,CEEN,58,,4,5,9,1,5,86,,168
,CHEL,120,1,17,4,32,,2,3,,179
,CHEN,305,1,43,18,61,1,10,107,3,549
,CPSC,204,1,23,16,34,1,4,137,3,423
,CPSL,131,1,19,8,35,,5,11,1,211
,CVEL,163,,7,5,43,,5,2,,225
,CVEN,504,,31,18,120,1,4,220,3,901
,ELEL,213,,40,8,52,,10,15,2,340
,ELEN,262,,74,15,96,2,9,342,3,803
,ENGR,1,,2,,1,,,1,,5
,ENSM,8,,1,2,1,,,1,1,14
,ENTC,162,,12,9,42,,4,4,,233
,ENTL,112,,8,8,41,,3,3,,175
,HLPH,9,,,1,,,,,,10
,IDIL,105,1,1,4,18,,3,3,,135
,IDIS,325,1,8,8,58,,4,6,,410
,INEL,98,,8,6,30,1,,12,2,157
,INEN,291,1,35,24,105,,10,183,4,653
,ITDE,1,,1,,,,,,,2
,MEEL,261,1,5,7,46,,6,1,,327
,MEEN,664,5,47,22,115,2,9,239,2,"1,105"
,MSEN,18,,5,1,,,1,67,,92
,NUEL,42,,2,,8,,2,1,,55
,NUEN,186,,10,8,33,,4,51,2,294
,OCEL,18,1,1,,4,,1,1,1,27
