Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,4,,4,,,,,4
,CHLS,,,,,,,3,,3,,,,,3
,CNPM,,,,,,,7,,7,,,,,7
,INTA,,,,,,,,2,2,,,,,2
,PSAA,,,,,,,,6,6,,,,,6
,Subtotal,,,,,,,14,8,22,,,,,22
Geosciences,ATMO,,,,,,,,1,1,,,,,1
,ENGS,,,,1,,1,,,,,,,,1
,ENST,,,2,1,,3,,,,,,,,3
,GEOG,,,,2,,2,,,,1,1,,,3
,GEOL,,,1,,,1,,2,2,,,,,3
,GEOP,,,,1,,1,,,,,,,,1
,MARB,,,,,,,,,,,,,,
,METR,1,2,,2,,5,,,,,,,,5
,OCNG,,,,,,,,,,1,1,,,1
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1
,Subtotal,1,2,3,7,,13,,4,4,2,2,,,19
Liberal Arts,AMST,,,,1,,1,,,,,,,,1
,ANTH,1,1,2,2,,6,,1,1,4,4,,,11
,CLSS,,,,,,,,,,,,,,
,COMM,,8,7,12,,27,,,,3,3,,,30
,ECON,3,2,4,9,,18,,1,1,,,,,19
,ENGL,,5,8,8,,21,,,,2,2,,,23
,FREN,,,1,1,,2,,,,,,,,2
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,5,1,9,,16,,,,2,2,,,18
,INTS,1,7,10,6,,24,,,,,,,,24
,MODL,,,,,,,,,,,,,,
,MUSC,1,,,1,,2,,,,,,,,2
,NRSC,,,,,,,,,,1,1,,,1
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,1,1,,,,,1
,PHIL,,1,,1,,2,,,,,,,,2
,POLS,5,4,8,11,,28,,2,2,3,3,,,33
,PSYC,5,14,22,23,,64,,2,2,2,2,,,68
,RUSS,,,,1,,1,,,,,,,,1
,SOCI,1,8,16,18,,43,,4,4,15,15,,,62
,SPAN,,,,,,,,,,,,,,
,TCMS,5,2,,2,,9,,,,,,,,9
,TECR,,,,,,,,,,,,,,
,THAR,,,1,,,1,,,,,,,,1
