Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,
,CHLS,,,,,,,2,,2,,,,,2
,CNPM,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,
,PSAA,,,,,,,,2,2,,,,,2
,Subtotal,,,,,,,2,2,4,,,,,4
Geosciences,ATMO,,,,,,,,,,,,,,
,ENGS,,,1,,,1,,,,,,,,1
,ENST,,,,1,,1,,,,,,,,1
,GEOG,,,1,,,1,,,,,,,,1
,GEOL,,,,,,,,,,,,,,
,GEOP,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,,2,1,,3,,1,1,,,,,4
Liberal Arts,AMST,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,
,COMM,,,,1,,1,,,,,,,,1
,ECON,,,,1,,1,,,,,,,,1
,ENGL,,2,2,2,,6,,,,,,,,6
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,2,,2,,,,,,,,2
,INTS,,,1,1,,2,,,,,,,,2
,MODL,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,
,PHIL,,,,1,,1,,,,1,1,,,2
,POLS,,1,2,1,,4,,,,,,,,4
,PSYC,,1,,3,,4,,,,,,,,4
,RUSS,,,,,,,,,,,,,,
,SOCI,,2,1,1,,4,,,,1,1,,,5
,SPAN,,,,,,,,,,,,,,
,TCMS,,1,,,,1,,,,,,,,1
,TECR,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
