Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,37,40,43,61,,181,,2,2,2,2,,,185,
,,12,8,5,6,,31,,4,4,6,6,,,41,
,,,,,1,,1,,,,,,,,1,
,,5,3,6,8,,22,1,1,2,2,2,,,26,
,,2,1,1,,,4,,1,1,3,3,,,8,
,,,,,,,,5,9,14,,,,,14,
,,56,52,55,76,,239,6,17,23,13,13,,,275,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,22,41,36,51,1,151,,2,2,,,16,16,169,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,2,2,,,,,2,
,,,,,,,,,1,1,2,2,,,3,
,,22,41,36,51,1,151,,7,7,2,2,16,16,176,
,,97,92,11,,,200,,,,,,,,200,
,,97,92,11,,,200,,,,,,,,200,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,2,,2,,,,,2,
,,323,390,399,660,6,"1,778",18,191,209,109,109,16,16,"2,112",
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
