Spring 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Education,CLED,11,,,,11
,EAHR,361,152,244,,757
,EPSY,249,97,154,,500
,HLKN,"1,918",121,72,,"2,111"
,TLAC,"1,238",239,180,,"1,657"
,Subtotal,"3,777",609,650,,"5,036"
Engineering,AERO,598,63,70,,731
,BMEN,375,48,53,,476
,CHEN,623,70,78,,771
,CLEN,2,,7,,9
,CSCE,730,156,115,,"1,001"
,CVEN,925,213,164,,"1,302"
,ECEN,928,234,252,,"1,414"
,ETID,926,27,,,953
,ISEN,599,168,57,,824
,MEEN,"1,065",179,255,,"1,499"
,NUEN,292,75,55,,422
,PETE,687,203,107,,997
,Subtotal,"7,750","1,436","1,213",,"10,399"
"G. Bush School of Govt
Geosciences",BUSH,,343,,,343
,Subtotal,,343,,,343
,ATMO,135,25,24,,184
,CLGE,121,,,,121
,GEOG,189,39,41,,269
,GEPL,203,81,49,,333
,OCNG,,32,43,,75
,Subtotal,648,177,157,,982
