Spring 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Liberal Arts,AMST,2,,,,2
,ANTH,184,66,65,,315
,CLSS,19,,,,19
,COMM,740,6,45,,791
,ECON,532,80,59,,671
,ENGL,626,16,75,,717
,FREN,19,,,,19
,GERM,7,,,,7
,HISP,,4,35,,39
,HIST,654,11,58,,723
,INTS,623,,,,623
,MODL,,3,,,3
,MUSC,26,,,,26
,NRSC,,6,9,,15
,NUTR,,1,,,1
,PERF,,10,,,10
,PHIL,77,14,12,,103
,POLS,676,6,41,,723
,PSYC,"1,306",20,63,,"1,389"
,RUSS,17,,,,17
,SOCI,444,20,72,,536
,SPAN,77,,,,77
,TCMS,168,,,,168
,TECR,1,,,,1
,THAR,42,,,,42
,USLA,10,,,,10
,WGST,15,,,,15
,Subtotal,"6,265",263,534,,"7,062"
