Top 10,,,,,,,,,
Spring 2012  Feeder Patterns Undergraduate Transfer,,,,,,,,,
Texas County     Students   % Total,,,,,,,,,
Harris,,110,,,16.4%,,,,
Brazos,,94,,,14.0%,,,,
Montgomery,,45,,,6.7%,,,,
Fort Bend,,35,,,5.2%,,,,
Bexar,,29,,,4.3%,,,,
Tarrant,,29,,,4.3%,,,,
Dallas,,22,,,3.3%,,,,
Travis,,21,,,3.1%,,,,
Denton,,19,,,2.8%,,,,
Collin,,17,,,2.5%,,,,
State,Students   % Total,,,,,,,,
Texas,642,,,95.5%,,,,,
Louisiana,3,,,0.4%,,,,,
New York,2,,,0.3%,,,,,
California,2,,,0.3%,,,,,
Virginia,2,,,0.3%,,,,,
Washington,1,,,0.1%,,,,,
Arkansas,1,,,0.1%,,,,,
Kansas,1,,,0.1%,,,,,
Georgia,1,,,0.1%,,,,,
Connecticut,1,,,0.1%,,,,,
Country,,,Students   % Total,,,,,,
United States,,,657,,,,97.8%,,
Brazil,,,4,,,,0.6%,,
Venezuela,,,2,,,,0.3%,,
Bolivia,,,1,,,,0.1%,,
Turkmenistan,,,1,,,,0.1%,,
Panama,,,1,,,,0.1%,,
Mexico,,,1,,,,0.1%,,
"Korea, Republic of",,,1,,,,0.1%,,
India,,,1,,,,0.1%,,
Grenada,,,1,,,,0.0%,,
Page 141,,,,,,,,,
