Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,2,1,,2,,5,,10,10,33,33,,,48,
,,,,1,6,,7,,22,22,112,112,,,141,
,,,,,,,,,,,,,,,,
,,1,2,1,2,,6,,18,18,64,64,,,88,
,,1,,,3,,4,,26,26,57,57,,,87,
,,,,,,,,2,11,13,37,37,,,50,
,,4,3,2,13,,22,2,87,89,303,303,,,414,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,,1,1,1,,3,,3,3,3,3,,,9,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,4,4,12,12,,,16,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,1,1,4,4,,,5,
,,,,,,,,1,2,3,5,5,,,8,
,,,,,,,,,,,10,10,,,10,
,,,1,1,1,,3,1,11,12,34,34,,,49,
,,26,10,,,,36,,,,,,,,36,
,,26,10,,,,36,,,,,,,,36,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,2,12,30,16,,60,9,,9,,,,,69,
,,,,,,,,7,,7,,,,,7,
,,2,12,30,16,,60,17,,17,,,,,77,
,,73,104,148,286,1,612,24,"1,447","1,471","1,888","1,888",,,"3,971",
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
